Region,Nationality,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2
Africa North,Algeria,339,288,318,195,314,362,290,334,251,128,209,142,171,158,159,124,100,55,84,73,79,65,65,51,76,70,93,66,109,94,84,96,80,60,71,54,73,81,56,91,108,101,84,68,79,65,61,91,65,53,49,37,48,43,53,30,45,44,41,36,47,49,58,49,52,41,70,59,74,73,76,73,64,68,49,66,54,41,29,39,32,42,70,116,71,89,160,180,175,164
Africa North,Egypt,11,11,12,15,30,22,34,23,15,26,26,16,23,26,41,25,16,23,13,19,11,10,3,11,5,18,22,17,20,17,18,15,32,10,15,23,31,35,33,36,38,59,65,83,80,49,57,74,66,85,92,69,113,71,88,66,118,70,115,88,72,98,174,147,136,94,130,86,103,97,103,90,84,62,104,112,89,52,118,91,76,95,168,272,166,331,673,518,263,417
Africa North,Libya,41,26,32,42,35,47,85,78,87,29,52,52,36,30,61,58,50,43,44,46,29,39,21,39,16,11,9,19,18,20,16,19,14,26,20,42,33,23,29,38,128,592,371,113,103,102,111,96,146,88,112,151,89,88,313,243,300,229,212,212,179,120,187,117,274,103,260,311,311,242,262,318,294,244,160,186,193,95,152,165,130,97,139,105,144,180,214,199,145,137
Africa North,Mauritania,2,3,1,,,2,1,1,,,,4,1,8,3,,3,2,2,1,1,,,1,2,1,1,1,,1,1,2,1,,2,,1,,2,,,1,,1,3,1,2,,1,1,3,,2,1,,,,1,,,1,,,,,,,,,,,4,,1,,,1,,5,1,1,1,2,,,1,,4,6,1
Africa North,Morocco,8,7,5,8,10,12,11,5,10,3,6,8,10,6,11,9,12,8,11,5,7,5,14,7,5,2,6,5,12,14,2,11,19,13,18,16,7,11,12,17,28,23,18,21,17,11,16,13,31,17,11,13,17,18,14,19,23,27,22,12,20,25,29,29,30,28,22,42,25,36,25,33,45,31,32,54,53,43,34,39,20,33,43,43,59,50,69,77,73,111
Africa North,Sudan,116,61,128,84,99,129,243,298,115,164,361,411,283,330,396,436,292,235,291,173,212,193,202,145,126,90,99,95,54,76,84,76,71,37,74,71,126,154,191,172,212,192,182,207,188,170,161,221,171,197,221,245,237,378,525,475,364,547,1555,552,225,305,367,548,330,494,536,482,391,389,543,463,511,379,519,376,390,255,1095,443,230,645,829,715,599,758,1140,900,380,907
Africa North,Tunisia,9,7,8,6,1,5,3,4,6,1,2,10,8,7,3,10,6,3,8,4,6,6,3,6,2,3,3,4,1,5,5,6,5,7,5,11,5,3,8,6,13,14,6,6,6,7,11,5,8,14,12,12,7,24,5,4,10,8,9,8,12,9,17,11,9,6,8,18,14,9,10,18,11,6,9,13,12,6,10,7,7,12,10,18,13,21,30,82,94,80
Africa North,Western Sahara,4,1,1,1,1,,1,2,,2,,,,,1,1,3,2,,2,1,2,,2,1,,2,2,3,1,1,2,1,3,2,,2,,3,6,1,1,,,1,1,2,3,2,3,,1,,,2,,1,1,,,,1,1,,1,,2,,,2,,1,1,,,1,,,,,1,,1,1,,1,2,1,,8
Africa Sub-Saharan,Angola,258,218,249,292,508,458,438,444,406,214,286,248,224,120,88,116,92,40,32,25,19,31,33,30,26,22,28,36,35,34,9,20,15,11,16,16,13,22,23,13,12,5,5,14,13,10,11,10,18,19,8,9,11,10,11,11,21,10,19,22,10,15,18,14,13,20,11,12,12,18,17,20,29,26,27,21,28,2,15,8,14,3,8,3,7,10,19,12,20,25
Africa Sub-Saharan,Benin,1,4,5,1,4,3,5,,2,4,3,1,1,3,3,4,7,2,4,2,3,2,3,,3,2,1,,1,1,,,2,3,,1,7,,3,,2,,2,,1,1,,5,,3,,,1,2,,1,,,,1,1,3,2,4,2,1,,6,,2,3,3,3,,2,,5,5,3,4,4,3,1,2,3,5,3,2,2,3
