Nationality,Year,Initial grant rate,Number of grants
Eritrea,2023,0.9983987189751802,2494
Syria,2023,0.9861995753715499,929
Syria,2022,0.9839048285514346,1406
Eritrea,2022,0.9832335329341317,2463
Afghanistan,2022,0.9782962561041779,1803
Afghanistan,2023,0.9781021897810219,1072
Sudan,2023,0.9030303030303031,596
Turkey,2023,0.8713692946058091,210
Sudan,2022,0.8388746803069054,984
Turkey,2022,0.8040345821325648,279
Iran,2022,0.8016476552598225,2530
Vietnam,2022,0.7401129943502824,524
Vietnam,2023,0.6753246753246753,156
Iran,2023,0.6748166259168704,828
Pakistan,2022,0.6042780748663101,339
Iraq,2022,0.5561797752808989,594
Pakistan,2023,0.513595166163142,170
Albania,2022,0.48262032085561496,361
Iraq,2023,0.40783744557329465,281
Albania,2023,0.14751630707476165,294
