Year,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Azerbaijan,Bangladesh,Barbados,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British overseas citizens,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo (Democratic Republic),Costa Rica,Croatia,Cuba,Cyprus,Cyprus (Northern part of),Czechia,Djibouti,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,France,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Macau,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Occupied Palestinian Territories,Oman,Other and unknown,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Refugee,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,St Lucia,St Vincent and the Grenadines,Stateless,Sudan,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Western Sahara,Yemen,Zambia,Zimbabwe,American Samoa (United States),Bahrain,Belize,Guatemala,Maldives,Norway,Papua New Guinea,Suriname,Svalbard and Jan Mayen Islands (Norwegian),São Tomé and Príncipe,Tonga,Turks and Caicos Islands (British),Austria,"Bahamas, The",Laos,Paraguay,Solomon Islands,Tokelau (New Zealand),Cape Verde,Dominica,El Salvador,Grenada,Madagascar,St Kitts and Nevis,Aruba (Dutch),Christmas Island (Australian),Denmark,French Guiana (French),Kosovo,Finland,Tuvalu,Montenegro,Anguilla (British),Nauru,South Sudan,East Timor,Bermuda (British),Marshall Islands,Vanuatu,Luxembourg,San Marino,Brunei
2001,8918,1063,1140,1,1017,1,4,94,2,106,512,1,81,2,11,56,39,49,2,35,18,116,9,609,2,380,4,4,29,5,2389,363,1,541,1368,1,33,15,18,84,826,5,2,256,49,3,621,50,1,611,1,16,7,67,133,1,192,2,103,6,3,1,3,4,9,1851,20,3418,6681,1,49,5,277,526,4,30,40,307,10,8,131,168,1,114,141,227,8,45,21,3,2,6,16,3,426,142,28,5,99,5,642,2,1,1,9,812,3,757,373,1,129,2859,1,16,16,613,2,1,8,1399,450,531,6,12,3231,17,1940,2,63,1,6419,131,4,9,5511,1,1,5,389,1,3,109,1,4,80,12,99,5,30,3693,4,481,445,1,10,1,15,15,401,7,171,19,2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8064,1350,1300,,1848,2,12,98,4,314,826,,127,,12,61,110,121,8,64,24,89,16,824,2,650,4,4,30,4,3722,565,3,718,2748,1,47,32,76,42,3372,2,4,484,109,3,1317,33,3,753,3,7,1,130,223,1,302,1,238,18,14,,3,5,50,1974,9,3370,15637,,122,1,333,1447,6,22,38,430,29,32,412,150,9,481,245,618,2,106,25,9,,4,12,3,883,262,38,4,93,8,526,5,,,9,1222,15,336,454,1,74,3779,3,13,14,2086,2,,72,2051,393,805,9,31,2908,35,1209,4,272,9,9425,288,3,4,3486,2,,9,769,,,83,2,23,48,8,98,3,13,3494,12,788,424,2,8,,22,20,882,4,247,22,8695,1,2,1,21,14,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2591,686,730,,1154,,1,60,1,185,820,,156,2,10,63,135,61,21,43,10,33,9,778,,530,9,11,30,20,3493,292,3,389,1919,,20,23,6,28,159,,5,229,83,10,1071,14,7,681,2,4,2,101,235,,360,,230,21,19,,4,4,19,2411,17,3497,4288,1,52,,437,1116,1,15,9,266,70,29,37,307,,780,220,79,,178,28,3,1,4,18,2,413,280,27,9,142,2,229,1,,4,7,1112,15,77,474,5,33,3143,1,6,12,122,1,1,28,798,412,320,11,31,1133,10,408,4,23,,7194,323,2,,810,4,1,4,1051,,,156,,5,36,6,88,14,19,2992,22,774,337,8,22,,24,19,1177,2,154,19,4018,,,1,11,2,,,,,1,,,1,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2004,1605,343,612,,548,,4,52,1,79,550,,62,1,11,36,29,25,9,40,2,9,11,317,,385,7,2,17,5,2410,143,,161,1826,1,10,16,,4,33,8,1,45,115,4,1263,1,2,584,,1,,111,148,,375,,329,18,4,4,,1,2,1485,3,3992,1878,3,73,2,294,494,3,29,10,176,52,21,11,146,1,426,185,14,,199,16,11,,12,30,2,178,153,36,3,66,2,104,3,,1,7,1209,27,14,539,1,33,3028,,9,18,21,,4,62,349,306,88,19,29,405,10,257,3,8,,3295,242,2,,402,6,2,2,1445,,1,412,1,1,22,3,74,13,28,1588,22,446,137,1,18,1,29,14,788,2,117,21,2522,,3,,,5,,,1,,,,,,,,,,,4,3,4,2,2,,,,,,,,,,,,,,,,,,,
2005,1773,199,312,,189,1,4,33,,66,464,,93,,15,14,31,55,5,25,2,6,11,111,1,307,5,3,16,4,1775,87,1,72,1388,1,4,16,,1,2,,,25,71,4,1900,,3,427,,2,2,110,128,1,251,1,172,3,6,1,,5,5,1000,8,3503,1593,5,59,,236,383,1,11,8,118,56,6,2,148,2,191,183,3,,168,24,11,,8,16,,125,119,36,3,73,2,77,2,,,11,1228,42,7,446,7,24,2291,,11,12,1,,7,105,127,200,42,9,14,197,5,166,2,1,1,2105,162,5,,479,6,1,9,991,1,,388,1,2,29,6,70,4,21,951,16,230,63,2,13,,19,18,398,7,72,26,1392,,6,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,
2006,2659,183,260,,113,1,,24,,68,494,2,67,1,8,14,20,36,5,13,6,10,1,44,,288,4,5,19,4,2030,71,,49,709,1,12,14,,,1,4,,15,35,1,2737,,10,216,,1,1,137,78,,138,,194,8,1,,,5,1,717,3,2683,1316,5,21,1,200,244,2,20,8,119,209,10,2,237,2,61,128,3,,79,19,5,,2,24,3,45,64,33,3,88,12,54,,,5,10,991,61,1,341,2,13,1851,,3,11,4,,,40,84,161,25,6,15,113,2,151,,,,2173,124,1,2,619,5,2,4,752,,,183,1,,18,3,26,9,21,567,17,190,64,2,18,1,32,12,93,5,73,18,2147,,3,,,1,,,,,,,,,,1,1,,,,1,1,6,,,1,1,,,,,,,,,,,,,,,,
2007,2838,192,305,,112,,,21,7,38,589,,77,,6,30,25,35,4,37,12,3,3,24,,175,2,3,10,1,2233,38,,36,457,1,16,18,1,1,8,2,2,13,62,,1905,,6,92,1,2,1,138,58,1,143,,128,6,9,1,1,7,,554,1,2525,2072,2,32,,121,260,2,19,5,129,230,4,2,88,2,43,55,1,1,82,31,7,,5,28,2,30,24,18,2,226,3,25,4,,,9,952,602,78,478,2,12,1794,,2,10,3,1,1,48,12,126,22,11,21,23,1,96,2,,,1978,153,32,,1267,6,2,29,410,,,185,,,36,8,27,2,12,256,7,152,48,3,19,,20,9,165,5,72,22,2402,,2,6,7,,,,,,,,,1,,,,,,,2,4,2,,1,,1,1,1,68,,,,,,,,,,,,,
2008,3724,173,383,,98,1,1,16,2,15,511,2,76,,2,36,37,8,7,44,13,2,3,18,,129,2,1,18,,1613,30,,28,400,,4,8,,,1,3,2,25,70,1,2333,,22,148,4,2,,212,86,,165,,87,4,14,1,1,5,,774,2,2597,2039,1,17,,89,269,1,15,4,176,258,3,,81,2,20,73,,2,174,43,4,,4,38,2,26,47,39,4,209,12,30,2,,4,5,1070,273,2,317,3,7,2075,1,1,9,,,,55,2,72,29,10,20,9,4,59,2,1,,1574,198,13,1,1866,7,1,18,290,,,182,3,7,33,16,12,22,17,232,14,158,41,1,24,,24,,237,7,56,17,4475,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,84,1,1,,,,,,,,,,,
2009,3539,236,265,,58,1,,6,5,45,495,1,18,,6,26,14,7,14,31,3,2,2,24,1,103,8,1,10,3,1584,23,,42,255,,3,7,,,,2,1,3,80,1,1408,,6,111,1,2,1,401,98,1,189,,134,5,14,,13,5,1,714,7,2146,993,1,8,,59,219,3,27,3,130,112,9,2,41,1,17,102,1,,232,46,9,,3,20,7,21,32,66,7,223,22,18,1,3,6,5,911,56,10,302,,7,2099,,6,13,5,1,2,59,3,105,31,10,44,3,6,107,1,7,,1103,266,11,,1446,3,5,62,253,,,184,1,,46,15,14,37,28,216,7,186,62,8,22,1,14,6,472,6,72,49,7611,,1,,6,2,,,,,,,,,,,,,,,2,,3,,,,,,,34,,,,,,,,,,,,,
2010,1843,219,301,,71,,,24,2,17,501,4,35,,10,29,30,12,20,49,12,1,4,13,,94,3,,11,9,1369,18,,31,225,1,2,17,,,1,1,3,11,135,,772,1,3,104,1,,,455,78,1,197,,104,3,8,1,,4,1,610,3,2224,496,2,14,1,48,267,,25,5,149,77,23,1,44,2,15,123,2,2,263,67,10,,3,75,12,7,71,47,2,285,21,35,1,,1,4,1149,54,4,213,1,5,2151,1,,16,7,,,145,4,104,24,11,47,5,1,103,1,,,679,177,5,,1635,5,5,127,643,2,,160,2,1,29,9,17,15,22,176,4,290,53,,48,1,14,20,467,11,48,21,1955,,3,4,2,,,,,,1,,,1,3,1,,,,,5,2,2,1,3,,,,,30,,,1,,,,,,,,,,
