Category,Nationality,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
Asylum-related,Albania,1618,1100,31
Asylum-related,India,248,54,18
Asylum-related,Iraq,177,25,6
Asylum-related,Pakistan,121,28,7
Asylum-related,El Salvador,143,1,1
Asylum-related,Brazil,75,56,7
Asylum-related,China,117,13,1
Asylum-related,Honduras,115,0,12
Asylum-related,Iran,78,4,1
Asylum-related,Bangladesh,63,10,2
Asylum-related,Other,906,177,69
Non asylum-related,Romania,188,943,6962
Non asylum-related,Brazil,2105,426,1504
Non asylum-related,India,3014,123,663
Non asylum-related,Albania,1098,818,367
Non asylum-related,Bulgaria,36,118,1698
Non asylum-related,China,1612,30,190
Non asylum-related,Poland,21,264,753
Non asylum-related,East Timor,11,12,903
Non asylum-related,Nigeria,524,19,240
Non asylum-related,Portugal,24,72,636
Non asylum-related,Other,5007,1213,10549
