Category,Nationality,Type,Age,Sex,Children
Albania,15521,Nationality,NA,NA,NA
Afghanistan,10555,Nationality,NA,NA,NA
Iran,9485,Nationality,NA,NA,NA
Iraq,5788,Nationality,NA,NA,NA
India,4408,Nationality,NA,NA,NA
Syria,4048,Nationality,NA,NA,NA
Bangladesh,3988,Nationality,NA,NA,NA
Pakistan,3049,Nationality,NA,NA,NA
Sudan,3016,Nationality,NA,NA,NA
Eritrea,2855,Nationality,NA,NA,NA
Under 18,NA,Age,16183,NA,NA
18-29,NA,Age,43516,NA,NA
30-49,NA,Age,28061,NA,NA
50-69,NA,Age,2974,NA,NA
70+,NA,Age,311,NA,NA
Female,NA,Sex,NA,21419,NA
Male,NA,Sex,NA,69005,NA
Accompanied children,NA,Children seeking asylum,NA,NA,86037
Unaccompanied children,NA,Children seeking asylum,NA,NA,5010
