Nationality,People
Afghanistan,7001
Albania,3199
Algeria,520
Angola,66
Antigua and Barbuda,4
Argentina,5
Armenia,3
Australia,2
Austria,2
Azerbaijan,78
Bahrain,17
Bangladesh,3419
Barbados,6
Belarus,13
Belgium,1
Belize,2
Benin,8
Bolivia,70
Botswana,372
Brazil,1240
British overseas citizens,9
Bulgaria,9
Burkina Faso,6
Burundi,13
Cambodia,1
Cameroon,127
Canada,5
Central African Republic,2
Chad,84
Chile,9
China,918
Colombia,792
Congo,37
Congo (Democratic Republic),97
Costa Rica,3
Cuba,16
Cyprus (Northern part of),3
Czechia,25
Djibouti,2
Dominica,22
Dominican Republic,3
East Timor,17
Ecuador,34
Egypt,1166
El Salvador,42
Equatorial Guinea,1
Eritrea,3132
Ethiopia,449
Finland,2
France,4
French Guiana (French),3
French Southern & Antarctic Territories,1
"Gambia, The",72
Georgia,1083
Ghana,159
Greece,1
Grenada,27
Guatemala,46
Guinea,75
Guinea-Bissau,4
Guyana,15
Honduras,810
Hong Kong,39
Hungary,32
India,4005
Indonesia,142
Iran,5276
Iraq,3014
Ireland,1
Israel,9
Italy,5
Ivory Coast,22
Jamaica,18
Japan,3
Jordan,85
Kazakhstan,241
Kenya,98
Kosovo,45
Kuwait,510
Kyrgyzstan,137
Laos,1
Latvia,7
Lebanon,58
Liberia,17
Libya,502
Lithuania,10
Malawi,13
Malaysia,218
Maldives,4
Mali,7
Mauritania,8
Mauritius,112
Mexico,37
Moldova,12
Mongolia,33
Morocco,271
Myanmar (Burma),89
Namibia,1068
Nepal,446
Netherlands,2
Nicaragua,164
Niger,4
Nigeria,915
North Korea,1
North Macedonia,8
Norway,1
Occupied Palestinian Territories,143
Oman,21
Other and unknown,86
Pakistan,3601
Panama,3
Paraguay,2
Peru,52
Philippines,247
Poland,70
Portugal,14
Qatar,2
Refugee,40
Romania,36
Russia,252
Rwanda,16
Saudi Arabia,181
Senegal,26
Sierra Leone,100
Singapore,9
Slovakia,7
Slovenia,1
Solomon Islands,9
Somalia,536
South Africa,58
South Georgia and the South Sandwich Islands (British),1
South Korea,1
South Sudan,231
Spain,4
Sri Lanka,1470
St Kitts and Nevis,22
St Lucia,47
St Vincent and the Grenadines,45
Stateless,241
Sudan,2693
Suriname,1
Sweden,7
Switzerland,1
Syria,2640
Taiwan,4
Tajikistan,267
Tanzania,41
Thailand,168
Togo,6
Tonga,5
Trinidad and Tobago,209
Tunisia,227
Turkey,3359
Turkmenistan,7
Uganda,167
Ukraine,85
United Arab Emirates,6
United States,63
Uzbekistan,479
Vanuatu,7
Venezuela,11
Vietnam,1773
Western Sahara,8
Yemen,319
Zambia,9
Zimbabwe,73
