Region,Nationality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia Central,Afghanistan,8918,8064,,,,2659,2838,3724,3539,1843,1529,,,,2852,3115,1962,,2165,,,10872,1515
Middle East,Iraq,6681,15637,4288,,,,2072,,,,,,,,,3734,3356,3660,4008,3328,7796,6295,
Africa Sub-Saharan,Somalia,6419,9425,7194,3295,2105,2173,,,,,,,,,,,,,,,,,
Asia South,Sri Lanka,5511,,,,,,,,,1635,2142,2143,2278,,,,,,,,,,
Europe Other,Turkey,3693,,,,,,,,,,,,,,,,,,,,,,
Africa Sub-Saharan,Zimbabwe,,8695,4018,2522,,2147,2402,4475,7611,1955,,,,,,,,,,,,,
Asia South,Pakistan,,3779,,3028,2291,,,2075,2099,2151,4005,4867,4576,3976,3365,3774,3193,2625,2617,,,,1043
Middle East,Iran,,,3497,3992,3503,2683,2525,2597,2146,2224,3051,3162,2967,2499,3716,4837,3094,4003,5490,4224,10522,9183,1718
Asia East,China,,,3493,2410,1775,,2233,,1584,,,,,,,,,,,,,,
Africa Sub-Saharan,Eritrea,,,,,1900,2737,,2333,,,,,,3291,3756,,,2208,,2641,5079,,
Africa North,Libya,,,,,,,,,,,1204,,,,,,,,,,,,
Africa Sub-Saharan,Nigeria,,,,,,,,,,,,1498,,,,,,,,,,,
Middle East,Syria,,,,,,,,,,,,1289,2020,2353,,,,,,,3968,4534,
Europe Other,Albania,,,,,,,,,,,,,1641,1972,,,,2609,4233,3293,5147,15925,1036
Africa North,Sudan,,,,,,,,,,,,,,,3018,,,,,2183,,,
Asia South,Bangladesh,,,,,,,,,,,,,,,,2256,2004,,,,,,
Asia South,India,,,,,,,,,,,,,,,,,,,,,,,1712
