Nationality,Year,Initial grant rate,Number of grants
Refugee,2023,0.9974093264248705,770
Eritrea,2023,0.9971209213051824,4156
Syria,2023,0.9950146627565982,3393
Afghanistan,2023,0.9909617612977983,4276
Syria,2022,0.9839048285514346,1406
Eritrea,2022,0.9832335329341317,2463
El Salvador,2023,0.9799554565701559,880
Afghanistan,2022,0.9782962561041779,1803
Sudan,2023,0.9696145124716553,2138
Refugee,2022,0.9682926829268292,397
Turkey,2023,0.8975308641975308,727
Iran,2023,0.8692664490637347,5060
Sudan,2022,0.8388746803069054,984
Turkey,2022,0.8040345821325648,279
Iran,2022,0.8016476552598225,2530
Pakistan,2022,0.6042780748663101,339
Iraq,2022,0.5561797752808989,594
Pakistan,2023,0.5507088331515813,505
Iraq,2023,0.4523670368205728,774
El Salvador,2022,0.44673539518900346,130
