Year,17 and under,18 to 29,30 to 49,50 to 69,70 and over
2004,4707,30980,23233,2050,72
2005,4868,27895,23010,2225,107
2006,5795,30093,24913,2811,118
2007,4804,30696,26408,3602,322
2008,5641,32084,28363,4007,324
2009,5998,32439,28435,4290,415
2010,3852,28080,27233,4511,413
2011,3199,27029,25803,4215,377
2012,3019,28182,24124,4276,549
2013,3292,27586,24866,4901,665
2014,3298,25737,23419,4759,682
2015,4044,26682,24724,5016,726
2016,4184,23495,24633,5218,749
2017,3582,19851,22372,4816,605
2018,3088,17595,19192,4210,496
2019,2572,14650,16626,3871,515
2020,1378,7291,8116,1566,173
2021,1900,12281,11741,2601,354
2022,2177,15487,15752,3963,555
