Date of return,Category,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
2010,Asylum,3792,6771,100
2010,Non-asylum,27970,7157,18346
2011,Asylum,4085,6289,115
2011,Non-asylum,26003,8277,15854
2012,Asylum,3222,5804,104
2012,Non-asylum,27780,9330,13941
2013,Asylum,2473,6455,160
2013,Non-asylum,29221,8395,14621
2014,Asylum,1999,4866,186
2014,Non-asylum,25816,8675,16373
2015,Asylum,2183,3513,167
2015,Non-asylum,28027,9408,17915
2016,Asylum,2138,2978,149
2016,Non-asylum,26336,8925,17767
2017,Asylum,2148,3001,197
2017,Non-asylum,18831,8740,18323
2018,Asylum,1849,2122,161
2018,Non-asylum,13853,7114,19494
2019,Asylum,1803,1364,165
2019,Non-asylum,10771,5834,18299
2020,Asylum,1053,512,82
2020,Non-asylum,3956,2871,10054
2021,Asylum,1210,340,56
2021,Non-asylum,6123,2440,18709
2022,Asylum,2150,580,136
2022,Non-asylum,8560,3280,23242
