Category,Nationality,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
Asylum-related,Albania,1852,1487,30
Asylum-related,India,284,59,17
Asylum-related,Iraq,144,22,7
Asylum-related,Brazil,109,56,6
Asylum-related,Pakistan,121,27,6
Asylum-related,China,123,15,5
Asylum-related,Honduras,123,0,6
Asylum-related,El Salvador,117,1,0
Asylum-related,Iran,87,4,1
Asylum-related,Bangladesh,66,12,2
Asylum-related,Other,984,179,62
Non asylum-related,Romania,254,1097,7216
Non asylum-related,India,3600,168,729
Non asylum-related,Brazil,2361,462,1530
Non asylum-related,Albania,1418,1014,326
Non asylum-related,Bulgaria,45,140,1821
Non asylum-related,China,1565,38,257
Non asylum-related,Poland,26,261,789
Non asylum-related,Nigeria,600,16,265
Non asylum-related,Portugal,38,75,608
Non asylum-related,Spain,26,30,594
Non asylum-related,Other,5310,1230,10310
