Year,Enforced return,Refused entry at port and subsequently departed,Voluntary return
2004,21425,36167,3566
2005,20808,29807,7601
2006,19372,31896,12599
2007,13874,31581,20453
2008,13433,32665,24356
2009,12507,29336,29765
2010,13928,18446,31762
2011,14566,15969,30088
2012,15134,14045,31002
2013,14850,14781,31694
2014,13541,16559,27815
2015,12921,18082,30210
2016,11903,17916,28474
2017,11741,18520,20979
2018,9236,19655,15702
2019,7198,18464,12574
2020,3383,10136,5009
2021,2780,18765,7333
2022,3860,23378,10710
