Nation,Flag URL,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,https://public.flourish.studio/country-flags/svg/de.svg,3370,5025,5955,6995,7305,11305,63750,63615,45910,35565,29580,30905
United Kingdom,https://public.flourish.studio/country-flags/svg/uk.svg,7184,7797,8638,10101,13945,9944,8564,10097,15080,9072,13103,18049
France,https://public.flourish.studio/country-flags/svg/fr.svg,6125,5680,5450,5825,5385,6415,8005,8715,13980,10255,15110,14450
Italy,https://public.flourish.studio/country-flags/svg/it.svg,325,790,75,45,20,4770,3335,17215,12635,9690,11860,13980
Austria,https://public.flourish.studio/country-flags/svg/at.svg,1780,1540,1425,2860,2705,1380,3925,5680,6305,6145,6740,4715
Sweden,https://public.flourish.studio/country-flags/svg/se.svg,1820,2890,2380,2375,2245,3175,4515,9015,5750,2815,2285,2355
Netherlands,https://public.flourish.studio/country-flags/svg/nl.svg,1555,885,1075,700,595,1015,1280,1175,1000,1080,2040,2070
Greece,https://public.flourish.studio/country-flags/svg/el.svg,410,530,910,1880,1845,5830,1560,595,1245,1415,1860,1860
Ireland,https://public.flourish.studio/country-flags/svg/ie.svg,75,45,55,95,225,305,80,270,575,585,935,1365
Spain,https://public.flourish.studio/country-flags/svg/es.svg,20,40,20,15,10,20,30,70,105,135,110,640
Finland,https://public.flourish.studio/country-flags/svg/fi.svg,235,315,225,225,130,305,955,1555,1215,890,1035,485
Lithuania,https://public.flourish.studio/country-flags/svg/lt.svg,0,0,5,5,0,0,5,5,0,5,450,335
Belgium,https://public.flourish.studio/country-flags/svg/be.svg,470,325,430,470,425,350,310,570,410,320,650,285
Norway,https://public.flourish.studio/country-flags/svg/no.svg,710,945,1005,960,900,415,500,280,210,170,195,190
Switzerland,https://public.flourish.studio/country-flags/svg/ch.svg,350,300,215,165,135,145,175,320,255,320,240,170
Denmark,https://public.flourish.studio/country-flags/svg/dk.svg,420,410,550,290,285,280,385,335,210,150,65,130
Czechia,https://public.flourish.studio/country-flags/svg/cz.svg,385,25,20,35,0,10,0,10,20,10,60,90
Romania,https://public.flourish.studio/country-flags/svg/ro.svg,110,275,925,35,45,15,85,70,50,75,75,85
Montenegro,https://public.flourish.studio/country-flags/svg/me.svg,NA,NA,NA,NA,NA,NA,NA,15,20,15,45,40
Bulgaria,https://public.flourish.studio/country-flags/svg/bg.svg,15,25,40,20,5,15,10,20,45,15,15,25
Croatia,https://public.flourish.studio/country-flags/svg/hr.svg,NA,35,0,0,0,0,20,20,5,40,70,20
Iceland,https://public.flourish.studio/country-flags/svg/is.svg,0,0,5,5,35,20,105,90,75,195,55,15
Latvia,https://public.flourish.studio/country-flags/svg/lv.svg,10,5,10,0,10,15,5,0,20,0,15,15
Cyprus,https://public.flourish.studio/country-flags/svg/cy.svg,65,45,90,225,285,120,55,15,15,0,15,10
Malta,https://public.flourish.studio/country-flags/svg/mt.svg,0,20,0,35,70,65,50,5,25,10,0,5
Poland,https://public.flourish.studio/country-flags/svg/pl.svg,100,70,50,20,55,85,50,60,10,20,10,5
Slovenia,https://public.flourish.studio/country-flags/svg/si.svg,0,0,0,0,5,5,0,0,15,5,5,5
Slovakia,https://public.flourish.studio/country-flags/svg/sk.svg,5,10,5,5,0,5,0,5,5,5,15,5
Estonia,https://public.flourish.studio/country-flags/svg/ee.svg,0,0,0,0,0,0,0,0,0,5,5,0
Hungary,https://public.flourish.studio/country-flags/svg/hu.svg,50,110,60,40,40,5,0,0,0,0,0,0
Liechtenstein,https://public.flourish.studio/country-flags/svg/li.svg,15,20,0,0,5,0,0,0,0,5,0,0
Luxembourg,https://public.flourish.studio/country-flags/svg/lu.svg,50,5,10,10,25,5,5,5,0,0,0,0
Portugal,https://public.flourish.studio/country-flags/svg/pt.svg,0,0,0,0,0,0,0,0,0,0,0,0
