Date,Scheme,Arrivals
2022-04-05,Ukraine Family Scheme,10800
2022-04-05,Ukraine Sponsorship Scheme,1200
2022-04-11,Ukraine Family Scheme,13200
2022-04-11,Ukraine Sponsorship Scheme,3200
2022-04-18,Ukraine Family Scheme,15000
2022-04-18,Ukraine Sponsorship Scheme,6600
2022-04-25,Ukraine Family Scheme,16000
2022-04-25,Ukraine Sponsorship Scheme,11100
2022-05-03,Ukraine Family Scheme,17900
2022-05-03,Ukraine Sponsorship Scheme,19500
2022-05-09,Ukraine Family Scheme,19500
2022-05-09,Ukraine Sponsorship Scheme,26600
2022-05-16,Ukraine Family Scheme,20800
2022-05-16,Ukraine Sponsorship Scheme,33000
2022-05-23,Ukraine Family Scheme,22000
2022-05-23,Ukraine Sponsorship Scheme,38100
2022-05-29,Ukraine Family Scheme,23100
2022-05-29,Ukraine Sponsorship Scheme,42600
2022-06-06,Ukraine Family Scheme,24000
2022-06-06,Ukraine Sponsorship Scheme,46500
2022-06-13,Ukraine Family Scheme,25350
2022-06-13,Ukraine Sponsorship Scheme,51000
2022-06-20,Ukraine Family Scheme,26700
2022-06-20,Ukraine Sponsorship Scheme,55500
2022-06-27,Ukraine Family Scheme,27800
2022-06-27,Ukraine Sponsorship Scheme,58800
2022-07-04,Ukraine Family Scheme,28700
2022-07-04,Ukraine Sponsorship Scheme,62300
2022-07-11,Ukraine Family Scheme,29700
2022-07-11,Ukraine Sponsorship Scheme,65600
2022-07-18,Ukraine Family Scheme,30500
2022-07-18,Ukraine Sponsorship Scheme,69033.33333333333
2022-07-25,Ukraine Family Scheme,31300
2022-07-25,Ukraine Sponsorship Scheme,72466.66666666667
2022-08-01,Ukraine Family Scheme,32100
2022-08-01,Ukraine Sponsorship Scheme,75900
2022-08-08,Ukraine Family Scheme,32900
2022-08-08,Ukraine Sponsorship Scheme,79000
2022-08-15,Ukraine Family Scheme,33500
2022-08-15,Ukraine Sponsorship Scheme,81700
2022-08-22,Ukraine Family Scheme,34100
2022-08-22,Ukraine Sponsorship Scheme,83900
2022-08-29,Ukraine Family Scheme,34500
2022-08-29,Ukraine Sponsorship Scheme,86100
2022-09-05,Ukraine Family Scheme,34900
2022-09-05,Ukraine Sponsorship Scheme,88000
2022-09-12,Ukraine Family Scheme,35500
2022-09-12,Ukraine Sponsorship Scheme,90400
2022-09-19,Ukraine Family Scheme,36200
2022-09-19,Ukraine Sponsorship Scheme,92800
2022-09-26,Ukraine Family Scheme,36800
2022-09-26,Ukraine Sponsorship Scheme,94900
2022-10-03,Ukraine Family Scheme,37400
2022-10-03,Ukraine Sponsorship Scheme,96800
2022-10-10,Ukraine Family Scheme,38000
2022-10-10,Ukraine Sponsorship Scheme,98600
2022-10-17,Ukraine Family Scheme,38400
2022-10-17,Ukraine Sponsorship Scheme,100000
2022-10-24,Ukraine Family Scheme,39000
2022-10-24,Ukraine Sponsorship Scheme,101200
2022-10-31,Ukraine Family Scheme,39400
2022-10-31,Ukraine Sponsorship Scheme,102100
2022-11-07,Ukraine Family Scheme,39900
2022-11-07,Ukraine Sponsorship Scheme,103200
2022-11-14,Ukraine Family Scheme,40500
2022-11-14,Ukraine Sponsorship Scheme,104100
2022-11-21,Ukraine Family Scheme,41100
2022-11-21,Ukraine Sponsorship Scheme,105100
2022-11-28,Ukraine Family Scheme,41600
2022-11-28,Ukraine Sponsorship Scheme,106200
2022-12-05,Ukraine Family Scheme,42100
2022-12-05,Ukraine Sponsorship Scheme,107100
2022-12-12,Ukraine Family Scheme,42600
2022-12-12,Ukraine Sponsorship Scheme,108000
2022-12-19,Ukraine Family Scheme,43300
2022-12-19,Ukraine Sponsorship Scheme,109000
2022-12-26,Ukraine Family Scheme,43750
2022-12-26,Ukraine Sponsorship Scheme,109650
2023-01-02,Ukraine Family Scheme,44200
2023-01-02,Ukraine Sponsorship Scheme,110300
2023-01-09,Ukraine Family Scheme,44500
2023-01-09,Ukraine Sponsorship Scheme,111000
2023-01-16,Ukraine Family Scheme,45300
2023-01-16,Ukraine Sponsorship Scheme,112000
2023-01-23,Ukraine Family Scheme,45850
2023-01-23,Ukraine Sponsorship Scheme,112850
2023-01-30,Ukraine Family Scheme,46400
2023-01-30,Ukraine Sponsorship Scheme,113700
2023-02-06,Ukraine Family Scheme,46900
2023-02-06,Ukraine Sponsorship Scheme,114400
2023-02-13,Ukraine Family Scheme,47500
2023-02-13,Ukraine Sponsorship Scheme,115200
2023-02-20,Ukraine Family Scheme,47800
2023-02-20,Ukraine Sponsorship Scheme,115800
2023-02-27,Ukraine Family Scheme,48200
2023-02-27,Ukraine Sponsorship Scheme,116400
2023-03-06,Ukraine Family Scheme,48600
2023-03-06,Ukraine Sponsorship Scheme,117100
2023-03-13,Ukraine Family Scheme,49000
2023-03-13,Ukraine Sponsorship Scheme,117700
2023-03-20,Ukraine Family Scheme,49400
2023-03-20,Ukraine Sponsorship Scheme,118300
2023-03-27,Ukraine Family Scheme,49700
2023-03-27,Ukraine Sponsorship Scheme,119000
2023-04-03,Ukraine Family Scheme,50000
2023-04-03,Ukraine Sponsorship Scheme,119700
2023-04-10,Ukraine Family Scheme,50300
2023-04-10,Ukraine Sponsorship Scheme,120400
2023-04-17,Ukraine Family Scheme,50300
2023-04-17,Ukraine Sponsorship Scheme,120400
2023-04-24,Ukraine Family Scheme,50600
2023-04-24,Ukraine Sponsorship Scheme,121200
2023-05-01,Ukraine Family Scheme,50800
2023-05-01,Ukraine Sponsorship Scheme,121700
2023-05-08,Ukraine Family Scheme,51100
2023-05-08,Ukraine Sponsorship Scheme,122400
2023-05-15,Ukraine Family Scheme,51300
2023-05-15,Ukraine Sponsorship Scheme,122900
2023-05-22,Ukraine Family Scheme,51500
2023-05-22,Ukraine Sponsorship Scheme,123400
2023-05-29,Ukraine Family Scheme,51800
2023-05-29,Ukraine Sponsorship Scheme,124000
2023-06-05,Ukraine Family Scheme,51800
2023-06-05,Ukraine Sponsorship Scheme,124000
2023-06-12,Ukraine Family Scheme,52100
2023-06-12,Ukraine Sponsorship Scheme,125000
