Date,Age Group,Sex,Number of detections
2018-01-01,17 and under,Female,106
2018-01-01,17 and under,Male,455
2018-01-01,18 to 24,Female,96
2018-01-01,18 to 24,Male,614
2018-01-01,25 to 39,Female,253
2018-01-01,25 to 39,Male,837
2018-01-01,25 to 39,Unknown,3
2018-01-01,40 and over,Female,84
2018-01-01,40 and over,Male,171
2018-01-01,40 and over,Unknown,1
2018-01-01,Unknown,Unknown,1
2018-04-01,17 and under,Female,127
2018-04-01,17 and under,Male,505
2018-04-01,18 to 24,Female,143
2018-04-01,18 to 24,Male,614
2018-04-01,18 to 24,Unknown,6
2018-04-01,25 to 39,Female,245
2018-04-01,25 to 39,Male,890
2018-04-01,25 to 39,Unknown,6
2018-04-01,40 and over,Female,72
2018-04-01,40 and over,Male,177
2018-04-01,40 and over,Unknown,1
2018-07-01,17 and under,Female,167
2018-07-01,17 and under,Male,697
2018-07-01,17 and under,Unknown,1
2018-07-01,18 to 24,Female,141
2018-07-01,18 to 24,Male,786
2018-07-01,18 to 24,Unknown,3
2018-07-01,25 to 39,Female,330
2018-07-01,25 to 39,Male,1128
2018-07-01,25 to 39,Unknown,2
2018-07-01,40 and over,Female,86
2018-07-01,40 and over,Male,213
2018-07-01,40 and over,Unknown,2
2018-10-01,17 and under,Female,212
2018-10-01,17 and under,Male,719
2018-10-01,17 and under,Unknown,2
2018-10-01,18 to 24,Female,155
2018-10-01,18 to 24,Male,1038
2018-10-01,18 to 24,Unknown,2
2018-10-01,25 to 39,Female,359
2018-10-01,25 to 39,Male,1534
2018-10-01,25 to 39,Unknown,5
2018-10-01,40 and over,Female,128
2018-10-01,40 and over,Male,256
2018-10-01,40 and over,Unknown,2
2018-10-01,Unknown,Unknown,2
2019-01-01,17 and under,Female,175
2019-01-01,17 and under,Male,646
2019-01-01,17 and under,Unknown,3
2019-01-01,18 to 24,Female,107
2019-01-01,18 to 24,Male,925
2019-01-01,18 to 24,Unknown,1
2019-01-01,25 to 39,Female,287
2019-01-01,25 to 39,Male,1299
2019-01-01,40 and over,Female,71
2019-01-01,40 and over,Male,220
2019-01-01,40 and over,Unknown,1
2019-01-01,Unknown,Unknown,3
2019-04-01,17 and under,Female,144
2019-04-01,17 and under,Male,533
2019-04-01,18 to 24,Female,130
2019-04-01,18 to 24,Male,730
2019-04-01,18 to 24,Unknown,1
2019-04-01,25 to 39,Female,301
2019-04-01,25 to 39,Male,1194
2019-04-01,25 to 39,Unknown,1
2019-04-01,40 and over,Female,85
2019-04-01,40 and over,Male,247
2019-04-01,Unknown,Female,4
2019-04-01,Unknown,Male,11
2019-04-01,Unknown,Unknown,12
2019-07-01,17 and under,Female,248
2019-07-01,17 and under,Male,825
2019-07-01,17 and under,Unknown,3
2019-07-01,18 to 24,Female,127
2019-07-01,18 to 24,Male,840
2019-07-01,18 to 24,Unknown,1
2019-07-01,25 to 39,Female,412
2019-07-01,25 to 39,Male,1634
2019-07-01,25 to 39,Unknown,3
2019-07-01,40 and over,Female,148
2019-07-01,40 and over,Male,353
2019-07-01,Unknown,Female,5
2019-07-01,Unknown,Male,29
2019-07-01,Unknown,Unknown,17
2019-10-01,17 and under,Female,168
2019-10-01,17 and under,Male,743
2019-10-01,17 and under,Unknown,2
2019-10-01,18 to 24,Female,129
2019-10-01,18 to 24,Male,1074
2019-10-01,25 to 39,Female,367
2019-10-01,25 to 39,Male,1563
2019-10-01,25 to 39,Unknown,3
2019-10-01,40 and over,Female,112
2019-10-01,40 and over,Male,309
2019-10-01,40 and over,Unknown,6
2019-10-01,Unknown,Female,3
2019-10-01,Unknown,Male,21
2019-10-01,Unknown,Unknown,5
2020-01-01,17 and under,Female,114
2020-01-01,17 and under,Male,581
2020-01-01,18 to 24,Female,134
2020-01-01,18 to 24,Male,770
2020-01-01,18 to 24,Unknown,1
2020-01-01,25 to 39,Female,251
2020-01-01,25 to 39,Male,1244
2020-01-01,25 to 39,Unknown,1
2020-01-01,40 and over,Female,74
2020-01-01,40 and over,Male,231
2020-01-01,Unknown,Male,14
2020-01-01,Unknown,Unknown,5
2020-04-01,17 and under,Female,97
2020-04-01,17 and under,Male,430
2020-04-01,17 and under,Unknown,1
2020-04-01,18 to 24,Female,44
2020-04-01,18 to 24,Male,711
2020-04-01,25 to 39,Female,150
2020-04-01,25 to 39,Male,1276
2020-04-01,25 to 39,Unknown,1
2020-04-01,40 and over,Female,40
2020-04-01,40 and over,Male,200
2020-04-01,Unknown,Female,2
2020-04-01,Unknown,Male,7
2020-07-01,17 and under,Female,298
2020-07-01,17 and under,Male,906
2020-07-01,17 and under,Unknown,1
2020-07-01,18 to 24,Female,157
2020-07-01,18 to 24,Male,1243
2020-07-01,18 to 24,Unknown,3
2020-07-01,25 to 39,Female,354
2020-07-01,25 to 39,Male,2747
2020-07-01,25 to 39,Unknown,1
2020-07-01,40 and over,Female,134
2020-07-01,40 and over,Male,461
2020-07-01,Unknown,Female,2
2020-07-01,Unknown,Male,14
2020-07-01,Unknown,Unknown,5
2020-10-01,17 and under,Female,124
2020-10-01,17 and under,Male,667
2020-10-01,17 and under,Unknown,2
2020-10-01,18 to 24,Female,107
2020-10-01,18 to 24,Male,1178
2020-10-01,18 to 24,Unknown,2
2020-10-01,25 to 39,Female,228
2020-10-01,25 to 39,Male,1756
2020-10-01,40 and over,Female,48
2020-10-01,40 and over,Male,260
2020-10-01,40 and over,Unknown,4
2020-10-01,Unknown,Male,13
2020-10-01,Unknown,Unknown,6
2021-01-01,17 and under,Female,64
2021-01-01,17 and under,Male,401
2021-01-01,17 and under,Unknown,5
2021-01-01,18 to 24,Female,64
2021-01-01,18 to 24,Male,785
2021-01-01,18 to 24,Unknown,5
2021-01-01,25 to 39,Female,138
2021-01-01,25 to 39,Male,1077
2021-01-01,25 to 39,Unknown,4
2021-01-01,40 and over,Female,40
2021-01-01,40 and over,Male,155
2021-01-01,Not currently recorded,Not currently recorded,2
2021-01-01,Unknown,Female,1
2021-01-01,Unknown,Male,6
2021-01-01,Unknown,Unknown,4
2021-04-01,17 and under,Female,202
2021-04-01,17 and under,Male,805
2021-04-01,17 and under,Unknown,1
2021-04-01,18 to 24,Female,148
2021-04-01,18 to 24,Male,1727
2021-04-01,18 to 24,Unknown,1
2021-04-01,25 to 39,Female,286
2021-04-01,25 to 39,Male,2425
2021-04-01,25 to 39,Unknown,1
2021-04-01,40 and over,Female,65
2021-04-01,40 and over,Male,340
2021-04-01,Not currently recorded,Not currently recorded,13
2021-04-01,Unknown,Male,10
2021-04-01,Unknown,Unknown,3
2021-07-01,17 and under,Female,563
2021-07-01,17 and under,Male,1846
2021-07-01,17 and under,Unknown,12
2021-07-01,18 to 24,Female,325
2021-07-01,18 to 24,Male,3870
2021-07-01,18 to 24,Unknown,2
2021-07-01,25 to 39,Female,780
2021-07-01,25 to 39,Male,5175
2021-07-01,25 to 39,Unknown,6
2021-07-01,40 and over,Female,198
2021-07-01,40 and over,Male,679
2021-07-01,40 and over,Unknown,1
2021-07-01,Not currently recorded,Not currently recorded,204
2021-07-01,Unknown,Female,3
2021-07-01,Unknown,Male,14
2021-07-01,Unknown,Unknown,8
2021-10-01,17 and under,Female,392
2021-10-01,17 and under,Male,1734
2021-10-01,17 and under,Unknown,43
2021-10-01,18 to 24,Female,268
2021-10-01,18 to 24,Male,4978
2021-10-01,18 to 24,Unknown,11
2021-10-01,25 to 39,Female,570
2021-10-01,25 to 39,Male,5100
2021-10-01,25 to 39,Unknown,11
2021-10-01,40 and over,Female,159
2021-10-01,40 and over,Male,701
2021-10-01,40 and over,Unknown,6
2021-10-01,Not currently recorded,Not currently recorded,363
2021-10-01,Unknown,Female,2
2021-10-01,Unknown,Male,5
2021-10-01,Unknown,Unknown,6
2022-01-01,17 and under,Female,233
2022-01-01,17 and under,Male,1040
2022-01-01,17 and under,Unknown,3
2022-01-01,18 to 24,Female,170
2022-01-01,18 to 24,Male,1837
2022-01-01,18 to 24,Unknown,3
2022-01-01,25 to 39,Female,410
2022-01-01,25 to 39,Male,2512
2022-01-01,25 to 39,Unknown,5
2022-01-01,40 and over,Female,139
2022-01-01,40 and over,Male,466
2022-01-01,40 and over,Unknown,2
2022-01-01,Not currently recorded,Not currently recorded,22
2022-01-01,Unknown,Female,1
2022-01-01,Unknown,Male,11
2022-01-01,Unknown,Unknown,1
2022-04-01,17 and under,Female,366
2022-04-01,17 and under,Male,1074
2022-04-01,17 and under,Unknown,100
2022-04-01,18 to 24,Female,231
2022-04-01,18 to 24,Male,2515
2022-04-01,18 to 24,Unknown,15
2022-04-01,25 to 39,Female,562
2022-04-01,25 to 39,Male,3423
2022-04-01,25 to 39,Unknown,23
2022-04-01,40 and over,Female,175
2022-04-01,40 and over,Male,674
2022-04-01,40 and over,Unknown,4
2022-04-01,Not currently recorded,Not currently recorded,977
2022-04-01,Unknown,Female,1
2022-04-01,Unknown,Male,8
2022-07-01,17 and under,Female,932
2022-07-01,17 and under,Male,2858
2022-07-01,17 and under,Unknown,89
2022-07-01,18 to 24,Female,573
2022-07-01,18 to 24,Male,7341
2022-07-01,18 to 24,Unknown,64
2022-07-01,25 to 39,Female,1272
2022-07-01,25 to 39,Male,7367
2022-07-01,25 to 39,Unknown,51
2022-07-01,40 and over,Female,373
2022-07-01,40 and over,Male,1448
2022-07-01,40 and over,Unknown,15
2022-07-01,Not currently recorded,Not currently recorded,1
2022-07-01,Unknown,Female,1
2022-07-01,Unknown,Male,9
2022-07-01,Unknown,Unknown,3
2022-10-01,17 and under,Female,488
2022-10-01,17 and under,Male,1950
2022-10-01,17 and under,Unknown,20
2022-10-01,18 to 24,Female,310
2022-10-01,18 to 24,Male,4614
2022-10-01,18 to 24,Unknown,23
2022-10-01,25 to 39,Female,827
2022-10-01,25 to 39,Male,4715
2022-10-01,25 to 39,Unknown,31
2022-10-01,40 and over,Female,281
2022-10-01,40 and over,Male,861
2022-10-01,40 and over,Unknown,3
2022-10-01,Not currently recorded,Not currently recorded,961
2022-10-01,Unknown,Female,16
2022-10-01,Unknown,Male,35
2022-10-01,Unknown,Unknown,28
2023-01-01,17 and under,Female,181
2023-01-01,17 and under,Male,790
2023-01-01,17 and under,Unknown,7
2023-01-01,18 to 24,Female,148
2023-01-01,18 to 24,Male,1483
2023-01-01,18 to 24,Unknown,16
2023-01-01,25 to 39,Female,338
2023-01-01,25 to 39,Male,1758
2023-01-01,25 to 39,Unknown,17
2023-01-01,40 and over,Female,132
2023-01-01,40 and over,Male,434
2023-01-01,40 and over,Unknown,2
2023-01-01,Not currently recorded,Not currently recorded,33
2023-01-01,Unknown,Male,7
2023-01-01,Unknown,Unknown,8
