Date,Visas granted
2010-03-31,708
2010-06-30,717
2010-09-30,919
2010-12-31,908
2011-03-31,900
2011-06-30,609
2011-09-30,750
2011-12-31,648
2012-03-31,583
2012-06-30,578
2012-09-30,496
2012-12-31,716
2013-03-31,595
2013-06-30,545
2013-09-30,758
2013-12-31,683
2014-03-31,1008
2014-06-30,597
2014-09-30,512
2014-12-31,694
2015-03-31,593
2015-06-30,636
2015-09-30,904
2015-12-31,903
2016-03-31,941
2016-06-30,826
2016-09-30,1032
2016-12-31,814
2017-03-31,717
2017-06-30,532
2017-09-30,682
2017-12-31,734
2018-03-31,806
2018-06-30,551
2018-09-30,550
2018-12-31,661
2019-03-31,804
2019-06-30,854
2019-09-30,917
2019-12-31,1119
2020-03-31,818
2020-06-30,64
2020-09-30,868
2020-12-31,872
2021-03-31,816
2021-06-30,772
2021-09-30,831
2021-12-31,559
2022-03-31,708
2022-06-30,451
2022-09-30,606
2022-12-31,381
2023-03-31,771
2023-06-30,646
2023-09-30,1226
2023-12-31,2349
