Date,Afghanistan,Iran,Iraq,Albania,India,Algeria,Angola,Brazil,British overseas citizens,Burundi,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Congo (Democratic Republic),Dominican Republic,Egypt,Eritrea,Ethiopia,"Gambia, The",Georgia,Ghana,Greece,Guinea,Guinea-Bissau,Italy,Ivory Coast,Korea (South),Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Macedonia,Moldova,Morocco,Nepal,Netherlands,Nigeria,Occupied Palestinian Territories,Other and unknown,Pakistan,Poland,Russia,Sierra Leone,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Stateless,Sudan,Sudan (South),Syria,Taiwan,Tanzania,Turkey,Uganda,Ukraine,United States,Vietnam,Yemen,Argentina,Bangladesh,Bosnia and Herzegovina,Denmark,France,Israel,Jamaica,Kenya,Kosovo,Lithuania,Mali,Mexico,Portugal,Refugee,Romania,Senegal,Thailand,Trinidad and Tobago,Tunisia,Western Sahara,Zambia,Zimbabwe,Comoros,Germany,Hong Kong,Jordan,Kazakhstan,Niger,Qatar,Saudi Arabia,Serbia,Azerbaijan,Belgium,Central African Republic,Costa Rica,Croatia,Cyprus (Northern part of),Hungary,Mauritania,Mauritius,Nicaragua,Peru,Rwanda,Singapore,Surinam,Sweden,Bhutan,Burkina,Equatorial Guinea,Grenada,Malawi,Philippines,United Arab Emirates,Djibouti,Ecuador,Tajikistan,Virgin Islands (British),Belarus,Benin,Japan,Pitcairn Islands (British),Uzbekistan,Bulgaria,Guatemala,Namibia,Togo,Venezuela,Australia,Norway,St. Lucia,Czech Republic,Burma,Cambodia,Malaysia,Armenia,Not currently recorded,Slovakia,Dominica,Greenland,Haiti,St. Vincent and the Grenadines,Andorra,Mozambique,Oman,Reunion,Bahrain,Botswana,Fiji,Honduras,Cuba,Ireland,Marshall Islands,Turkmenistan,Bolivia,East Timor,Finland,Guyana,Iceland,Indonesia,Laos,Montenegro,"Bahamas, The",Malta,Swaziland
2018-01-01,220,491,575,221,24,19,2,1,1,2,4,1,6,1,92,1,1,11,1,8,205,82,8,11,6,1,2,1,1,1,1,10,1,1,2,1,13,1,1,8,1,2,15,34,4,21,2,9,1,1,29,2,1,32,31,268,1,42,1,3,30,1,8,3,38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-01,175,499,427,250,33,15,1,1,4,2,10,NA,5,NA,99,1,NA,6,1,11,471,99,2,3,3,NA,2,1,2,NA,NA,25,NA,NA,2,NA,9,NA,2,4,NA,NA,4,31,3,6,NA,5,1,NA,18,2,NA,44,46,281,1,54,NA,2,32,1,9,NA,46,6,1,1,1,1,1,2,1,3,1,2,2,1,1,2,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-01,170,863,610,278,22,35,1,8,1,NA,4,NA,5,NA,112,2,NA,2,1,11,494,56,4,2,3,NA,5,1,3,1,NA,23,NA,NA,NA,NA,24,1,1,10,NA,NA,8,23,9,20,2,12,1,NA,23,2,NA,45,44,377,NA,91,NA,NA,54,NA,12,6,36,7,NA,1,NA,NA,NA,NA,1,NA,5,2,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,2,1,3,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-01,165,1291,931,343,33,44,3,2,NA,NA,3,NA,8,NA,82,NA,2,5,NA,13,459,85,9,5,9,2,5,NA,2,NA,NA,31,6,NA,3,NA,18,NA,5,15,NA,NA,10,20,22,4,1,11,3,NA,28,3,1,55,35,291,3,125,NA,5,68,NA,16,5,73,7,NA,NA,NA,1,1,NA,NA,NA,1,1,3,1,2,2,2,1,NA,NA,4,1,NA,3,NA,NA,NA,3,2,NA,NA,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,136,948,851,256,56,30,2,9,2,NA,3,NA,13,NA,54,NA,NA,13,1,10,379,75,9,17,6,1,8,1,4,2,1,29,1,NA,NA,NA,12,NA,2,5,NA,NA,13,10,9,16,1,16,5,NA,33,4,2,37,47,317,NA,127,NA,2,50,3,19,1,37,18,NA,4,NA,NA,3,NA,1,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-01,162,825,783,254,34,14,8,8,1,NA,NA,NA,17,NA,75,1,2,7,1,7,273,34,3,24,14,NA,3,NA,2,1,NA,67,NA,NA,4,1,19,NA,NA,7,NA,NA,9,16,45,25,NA,7,1,NA,38,1,NA,33,59,225,1,112,NA,1,40,NA,8,1,66,29,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,5,1,4,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-01,362,1450,723,241,46,17,12,3,NA,1,2,NA,16,NA,62,3,2,1,NA,15,344,49,7,50,10,NA,17,1,6,7,NA,58,NA,NA,7,1,15,NA,NA,14,NA,1,31,17,54,42,1,18,1,NA,35,1,2,45,67,314,4,168,1,6,64,1,14,2,109,24,1,6,NA,NA,1,NA,NA,2,2,1,5,NA,NA,7,4,4,NA,NA,2,NA,NA,2,NA,5,NA,4,1,5,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,10,NA,NA,1,1,NA,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-01,175,1466,826,324,85,30,5,4,2,NA,1,NA,23,NA,88,1,NA,4,NA,5,255,37,5,82,13,NA,2,NA,1,3,NA,33,1,NA,1,NA,48,NA,NA,23,NA,NA,29,26,47,12,1,15,1,1,36,3,1,58,123,239,2,151,NA,2,72,1,17,1,51,35,NA,2,NA,NA,2,1,NA,NA,2,1,NA,1,1,3,2,2,NA,NA,5,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,153,896,567,254,57,28,NA,6,2,NA,2,NA,23,NA,9,NA,NA,1,1,8,411,29,3,29,10,1,2,1,1,3,NA,16,NA,NA,11,2,25,1,NA,17,NA,NA,26,8,50,20,1,7,11,NA,37,3,NA,38,83,268,1,150,NA,5,33,NA,9,NA,18,36,1,5,NA,NA,1,4,NA,1,NA,NA,2,1,NA,1,5,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,142,725,733,71,15,20,NA,1,NA,NA,NA,NA,16,NA,2,NA,NA,NA,NA,12,313,36,1,2,1,NA,4,NA,NA,5,NA,26,NA,NA,NA,1,14,NA,NA,9,1,NA,NA,7,15,28,NA,1,NA,NA,6,NA,NA,NA,97,200,7,255,NA,3,6,NA,NA,NA,15,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,43,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
