Date,Decisions
2010-01-01,154
2010-04-01,121
2010-07-01,193
2010-10-01,249
2011-01-01,160
2011-04-01,1
2011-07-01,9
2011-10-01,291
2012-01-01,488
2012-04-01,32
2012-07-01,255
2012-10-01,278
2013-01-01,231
2013-04-01,232
2013-07-01,285
2013-10-01,219
2014-01-01,73
2014-04-01,173
2014-07-01,301
2014-10-01,239
2015-01-01,220
2015-04-01,48
2015-07-01,269
2015-10-01,1328
2016-01-01,797
2016-04-01,1046
2016-07-01,1706
2016-10-01,1663
2017-01-01,1921
2017-04-01,1571
2017-07-01,1193
2017-10-01,1527
2018-01-01,1469
2018-04-01,1513
2018-07-01,1485
2018-10-01,1339
2019-01-01,1459
2019-04-01,1408
2019-07-01,1400
2019-10-01,1345
2020-01-01,815
2020-10-01,8
2021-01-01,345
2021-04-01,320
2021-07-01,8856
2021-10-01,1096
2022-01-01,700
2022-04-01,393
2022-07-01,330
2022-10-01,281
2023-01-01,243
