Date,Ukraine Sponsorship Scheme,Ukraine Family Scheme
2022-04-05,1200,10800
2022-04-11,3200,13200
2022-04-18,6600,15000
2022-04-25,11100,16000
2022-05-03,19500,17900
2022-05-09,26600,19500
2022-05-16,33000,20800
2022-05-23,38100,22000
2022-05-29,42600,23100
2022-06-06,46500,24000
2022-06-13,51000,25350
2022-06-20,55500,26700
2022-06-27,58800,27800
2022-07-04,62300,28700
2022-07-11,65600,29700
2022-07-18,69033.33333333333,30500
2022-07-25,72466.66666666667,31300
2022-08-01,75900,32100
2022-08-08,79000,32900
2022-08-15,81700,33500
2022-08-22,83900,34100
2022-08-29,86100,34500
2022-09-05,88000,34900
2022-09-12,90400,35500
2022-09-19,92800,36200
2022-09-26,94900,36800
2022-10-03,96800,37400
2022-10-10,98600,38000
2022-10-17,100000,38400
2022-10-24,101200,39000
2022-10-31,102100,39400
2022-11-07,103200,39900
2022-11-14,104100,40500
2022-11-21,105100,41100
2022-11-28,106200,41600
2022-12-05,107100,42100
2022-12-12,108000,42600
2022-12-19,109000,43300
2022-12-26,109650,43750
2023-01-02,110300,44200
2023-01-09,111000,44500
2023-01-16,112000,45300
2023-01-23,112850,45850
2023-01-30,113700,46400
2023-02-06,114400,46900
2023-02-13,115200,47500
2023-02-20,115800,47800
2023-02-27,116400,48200
2023-03-06,117100,48600
2023-03-13,117700,49000
2023-03-20,118300,49400
2023-03-27,119000,49700
2023-04-03,119700,50000
2023-04-10,120400,50300
2023-04-17,120400,50300
2023-04-24,121200,50600
2023-05-01,121700,50800
2023-05-08,122400,51100
2023-05-15,122900,51300
2023-05-22,123400,51500
2023-05-29,124000,51800
2023-06-05,124000,51800
2023-06-12,125000,52100
2023-06-19,125700,52300
2023-06-26,126300,52600
2023-07-03,126950,52800
2023-07-10,127600,53000
2023-07-17,128200,53200
2023-07-24,128800,53300
2023-07-31,129300,53500
2023-08-07,130000,53700
2023-08-14,130500,53800
2023-08-21,131000,54000
