Date,Cost
2013-03-31,102
2013-06-30,100
2013-09-30,100
2013-12-31,100
2014-03-31,98
2014-06-30,98.7
2014-09-30,97.1
2014-12-31,96.16
2015-03-31,92.67
2015-06-30,91.61
2015-09-30,90.41
2015-12-31,90.59
2016-03-31,89.93
2016-06-30,88.46
2016-09-30,87.63
2016-12-31,86.08
2017-03-31,85.47
2017-06-30,85.53
2017-09-30,85.92
2017-12-31,85.97
2018-03-31,86.92
2018-06-30,87.52
2018-09-30,88.29
2018-12-31,87.71
2019-03-31,88.68
2019-06-30,90.21
2019-09-30,91.34
2019-12-31,95.49
2020-03-31,96.86
2020-06-30,97.54
2020-09-30,99.56
2020-12-31,96.66
2021-03-31,101.17
2021-06-30,98.78
2021-09-30,101.42
2021-12-31,101.61
2022-03-31,107.23
2022-06-30,113.16
2022-09-30,115.32
2022-12-31,120.42
2023-03-31,112.85
2023-06-30,107.71
