Date,Granted,Refused,Withdrawn
2001-03-31,10747,36481,756
2001-06-30,7427,20902,529
2001-09-30,6546,17021,581
2001-12-31,6921,14904,533
2002-03-31,8360,15175,462
2002-06-30,7071,12648,419
2002-09-30,6695,13900,353
2002-12-31,6282,13409,258
2003-03-31,5494,15370,345
2003-06-30,2040,12738,475
2003-09-30,1740,12515,514
2003-12-31,1800,13244,503
2004-03-31,1842,12826,760
2004-06-30,1256,10452,528
2004-09-30,1166,10030,385
2004-12-31,1294,7155,531
2005-03-31,1257,6745,506
2005-06-30,1236,6038,570
2005-09-30,1025,5467,823
2005-12-31,1221,4404,647
2006-03-31,1381,4867,759
2006-06-30,1005,3968,461
2006-09-30,875,3695,306
2006-12-31,1219,3932,254
2007-03-31,1488,4556,255
2007-06-30,1396,4532,307
2007-09-30,1535,3694,338
2007-12-31,1321,3251,335
2008-03-31,1395,3061,377
2008-06-30,1558,3455,553
2008-09-30,1435,3795,813
2008-12-31,1510,3194,1008
2009-03-31,2102,2979,874
2009-06-30,1650,4043,812
2009-09-30,1542,5614,947
2009-12-31,1449,4909,711
2010-03-31,1315,3989,743
2010-06-30,1240,3867,613
2010-09-30,1280,3667,743
2010-12-31,1363,3543,792
2011-03-31,1429,3434,737
2011-06-30,1297,2926,561
2011-09-30,1497,2751,551
2011-12-31,1428,2620,570
2012-03-31,1556,2895,531
2012-06-30,1322,2575,497
2012-09-30,1631,2542,524
2012-12-31,1550,2703,590
2013-03-31,2089,3149,757
2013-06-30,1839,3213,588
2013-09-30,1547,2688,621
2013-12-31,1189,1951,448
2014-03-31,1035,1802,525
2014-06-30,1468,2234,515
2014-09-30,2349,3698,573
2014-12-31,3299,3898,649
2015-03-31,3234,5633,1014
2015-06-30,2720,3515,583
2015-09-30,2761,3892,521
2015-12-31,2707,4161,712
2016-03-31,2365,4224,680
2016-06-30,2123,4037,712
2016-09-30,1767,4299,811
2016-12-31,2210,3870,704
2017-03-31,2020,3919,730
2017-06-30,1709,3168,724
2017-09-30,1529,3476,836
2017-12-31,1521,3927,802
2018-03-31,1571,4409,811
2018-06-30,1615,3596,807
2018-09-30,1830,3263,772
2018-12-31,1915,2885,698
2019-03-31,2712,2746,660
2019-06-30,2591,2409,695
2019-09-30,2696,2516,784
2019-12-31,2797,2299,974
2020-03-31,2977,2223,1036
2020-06-30,1121,1610,311
2020-09-30,754,1903,487
2020-12-31,1686,2030,735
2021-03-31,2591,1233,733
2021-06-30,2649,1056,694
2021-09-30,2572,903,602
2021-12-31,2656,872,657
2022-03-31,2999,887,1149
2022-06-30,2939,902,1121
2022-09-30,4022,1167,1333
2022-12-31,4410,1485,1652
2023-03-31,3325,1560,5865
2023-06-30,5106,2627,5531
