Date,Nationality,Pending further review,Pending initial decision (6 months or less),Pending initial decision (more than 6 months)
2010-06-30,Total,9513,3371,6070
2010-09-30,Total,7985,3172,4743
2010-12-31,Total,7642,3158,4082
2011-03-31,Total,9843,3544,3831
2011-06-30,Total,9277,4073,3454
2011-09-30,Total,8516,4686,3255
2011-12-31,Total,8050,5625,3232
2012-03-31,Total,6979,4790,3609
2012-06-30,Total,6561,4756,4432
2012-09-30,Total,6380,5958,4956
2012-12-31,Total,6100,6946,5870
2013-03-31,Total,6427,5988,6630
2013-06-30,Total,6478,5588,7536
2013-09-30,Total,5912,7327,7570
2013-12-31,Total,4898,9691,8481
2014-03-31,Total,4664,11116,10700
2014-06-30,Total,4800,10290,13435
2014-09-30,Total,6765,10372,13997
2014-12-31,Total,8647,11269,11629
2015-03-31,Total,13092,12586,4293
2015-06-30,Total,13423,11243,4920
2015-09-30,Total,12434,14544,4903
2015-12-31,Total,11843,17287,4860
2016-03-31,Total,10556,17173,6472
2016-06-30,Total,8663,17482,8254
2016-09-30,Total,6745,16880,10372
2016-12-31,Total,4931,16437,11420
2017-03-31,Total,4444,15458,11590
2017-06-30,Total,3650,14254,13455
2017-09-30,Total,3863,13960,14399
2017-12-31,Total,3212,15216,14306
2018-03-31,Total,3411,15807,13457
2018-06-30,Total,3051,15456,14528
2018-09-30,Total,2810,16525,15674
2018-12-31,Total,2325,19300,16555
2019-03-31,Total,3099,20234,18734
2019-06-30,Total,2873,18773,22187
2019-09-30,Total,3145,19130,26125
2019-12-31,Total,5033,21995,29233
2020-03-31,Total,1803,20390,31516
2020-06-30,Total,2403,15317,38756
2020-09-30,Total,2861,14440,46108
2020-12-31,Total,5177,18099,46796
2021-03-31,Total,3396,16101,50084
2021-06-30,Total,1836,16865,54040
2021-09-30,Total,4262,27213,56520
2021-12-31,Total,4360,38700,61864
2022-03-31,Total,4875,36528,73207
2022-06-30,Total,4813,32982,89231
2022-09-30,Total,5156,45660,97717
2022-12-31,Total,5342,51278,109641
2023-03-31,Total,,43946,128812
2010-06-30,Afghanistan,947,357,656
2010-06-30,Albania,62,44,48
2010-06-30,Algeria,96,56,74
2010-06-30,Angola,32,23,33
2010-06-30,Armenia,11,1,4
2010-06-30,Azerbaijan,9,,4
2010-06-30,Bangladesh,143,46,83
2010-06-30,Belarus,4,5,10
2010-06-30,Benin,3,3,
2010-06-30,Bhutan,8,4,6
2010-06-30,Bolivia,3,6,3
2010-06-30,Bosnia and Herzegovina,4,,18
2010-06-30,Botswana,1,6,4
2010-06-30,Brazil,8,8,9
2010-06-30,British overseas citizens,2,1,1
2010-06-30,Burkina,2,1,
2010-06-30,Burma,91,26,11
2010-06-30,Burundi,5,1,10
2010-06-30,Cameroon,44,21,34
2010-06-30,Chad,4,2,1
2010-06-30,Chile,1,,
2010-06-30,China,483,236,589
2010-06-30,Colombia,3,1,11
2010-06-30,Congo,11,8,14
2010-06-30,Congo (Democratic Republic),123,40,105
2010-06-30,Croatia,1,,1
2010-06-30,Cuba,4,10,
2010-06-30,Djibouti,1,,2
2010-06-30,Dominica,2,,1
2010-06-30,Egypt,47,13,15
2010-06-30,Eritrea,162,105,260
2010-06-30,Ethiopia,60,11,37
2010-06-30,Former Yugoslavia,1,,3
2010-06-30,Gabon,1,,
2010-06-30,"Gambia, The",136,53,50
2010-06-30,Georgia,36,18,12
2010-06-30,Ghana,62,38,35
2010-06-30,Grenada,2,,
2010-06-30,Guinea,49,14,37
2010-06-30,Guyana,7,1,
2010-06-30,Hong Kong,2,1,2
2010-06-30,India,77,95,146
2010-06-30,Iran,906,198,454
2010-06-30,Iraq,476,63,454
2010-06-30,Israel,5,5,6
2010-06-30,Ivory Coast,37,9,31
2010-06-30,Jamaica,63,62,72
2010-06-30,Jordan,7,7,3
2010-06-30,Kenya,38,24,23
2010-06-30,Korea (North),81,9,99
2010-06-30,Korea (South),1,,8
2010-06-30,Kosovo,16,6,20
2010-06-30,Kuwait,43,4,30
2010-06-30,Lebanon,29,7,22
2010-06-30,Liberia,7,5,5
2010-06-30,Libya,30,12,22
2010-06-30,Macedonia,3,3,23
2010-06-30,Malawi,95,37,32
2010-06-30,Malaysia,18,9,8
2010-06-30,Maldives,6,,
2010-06-30,Mali,2,3,1
2010-06-30,Mauritania,4,,2
2010-06-30,Mauritius,16,17,8
2010-06-30,Mexico,1,,1
2010-06-30,Moldova,1,1,5
2010-06-30,Mongolia,8,23,11
2010-06-30,Morocco,10,11,15
2010-06-30,Mozambique,2,,
2010-06-30,Namibia,2,3,4
2010-06-30,Nepal,6,2,1
2010-06-30,Nicaragua,2,,
2010-06-30,Nigeria,326,178,198
2010-06-30,Occupied Palestinian Territories,102,56,90
