Date,Granted,Refused,Withdrawn
2001-03-31,10747,36481,756
2001-06-30,7427,20902,529
2001-09-30,6546,17021,581
2001-12-31,6921,14904,533
2002-03-31,9867,18696,462
2002-06-30,8210,15826,419
2002-09-30,7985,18169,353
2002-12-31,7398,17301,258
2003-03-31,6441,19139,345
2003-06-30,2478,15659,475
2003-09-30,2127,15858,514
2003-12-31,2137,16529,503
2004-03-31,2103,15644,1484
2004-06-30,1445,12364,744
2004-09-30,1338,12135,496
2004-12-31,1467,8896,797
2005-03-31,1445,8254,797
2005-06-30,1401,7322,769
2005-09-30,1213,6707,1100
2005-12-31,1368,5499,776
2006-03-31,1543,6046,861
2006-06-30,1123,4862,544
2006-09-30,990,4624,367
2006-12-31,1394,4903,277
2007-03-31,1747,5687,287
2007-06-30,1660,5665,344
2007-09-30,1862,4548,383
2007-12-31,1551,3952,392
2008-03-31,1675,3648,447
2008-06-30,1885,4321,607
2008-09-30,1722,4775,879
2008-12-31,1813,3963,1067
2009-03-31,2624,3689,929
2009-06-30,2033,5136,864
2009-09-30,1919,7427,1013
2009-12-31,1812,6316,755
2010-03-31,1625,5355,772
2010-06-30,1569,5195,658
2010-09-30,1576,4861,800
2010-12-31,1674,4597,829
2011-03-31,1804,4542,791
2011-06-30,1596,3861,589
2011-09-30,1934,3673,611
2011-12-31,1850,3534,617
2012-03-31,2022,3971,576
2012-06-30,1738,3397,520
2012-09-30,2039,3223,573
2012-12-31,1998,3471,633
2013-03-31,2704,3995,796
2013-06-30,2296,4042,633
2013-09-30,2041,3436,653
2013-12-31,1597,2445,473
2014-03-31,1349,2258,568
2014-06-30,1852,2838,567
2014-09-30,2997,5145,641
2014-12-31,3903,5541,739
2015-03-31,4274,8440,1111
2015-06-30,3248,4830,663
2015-09-30,3230,5392,598
2015-12-31,3193,5540,790
2016-03-31,2772,5384,756
2016-06-30,2474,5048,767
2016-09-30,2117,5520,900
2016-12-31,2581,5115,795
2017-03-31,2469,5194,832
2017-06-30,2187,4260,788
2017-09-30,2042,4590,913
2017-12-31,1866,5242,884
2018-03-31,2326,6005,907
2018-06-30,2382,4773,897
2018-09-30,2612,4285,867
2018-12-31,2777,3809,845
2019-03-31,3854,3832,751
2019-06-30,3580,3258,829
2019-09-30,3656,3294,884
2019-12-31,3990,3111,1099
2020-03-31,4101,3041,1195
2020-06-30,1613,2024,365
2020-09-30,1087,2461,574
2020-12-31,2271,2451,850
2021-03-31,3300,1635,822
2021-06-30,3390,1377,795
2021-09-30,3037,1039,698
2021-12-31,3376,1066,768
2022-03-31,3970,1124,1278
2022-06-30,3709,1194,1300
2022-09-30,4984,1517,1527
2022-12-31,5522,1850,1839
2023-03-31,4149,1810,6068
2023-06-30,6233,3226,5810
