Nationality,More than 6 months,6 months or less
Albania,16928,3612
Iran,14742,5068
Iraq,13674,2741
Afghanistan,7851,6259
Syria,5708,1938
Eritrea,5683,1283
Bangladesh,5456,2214
Pakistan,5320,1824
Sudan,4359,1242
India,3467,2687
Nigeria,3367,645
Vietnam,3130,443
China,2782,457
El Salvador,2591,57
Turkey,2491,1082
Sri Lanka,1929,823
Stateless,1862,260
Egypt,1691,734
Georgia,1489,720
Ethiopia,1458,301
Kuwait,1309,249
Honduras,1306,852
Somalia,1168,238
Nepal,1115,561
Namibia,1005,648
Libya,981,314
Ukraine,969,72
Philippines,954,238
Yemen,819,267
Russia,802,304
Algeria,658,336
Brazil,564,552
Malaysia,535,135
Occupied Palestinian Territories,532,104
Colombia,48,461
Zimbabwe,461,53
Ghana,440,85
Cameroon,432,126
Uzbekistan,151,392
Morocco,388,156
Kenya,372,65
Chad,335,78
Uganda,309,115
"Gambia, The",304,40
Sierra Leone,284,90
Saudi Arabia,281,133
Congo (Democratic Republic),269,94
Nicaragua,249,134
Tajikistan,121,239
Refugee,227,29
Botswana,188,198
Trinidad and Tobago,196,98
Jamaica,195,11
Lebanon,193,52
Sudan (South),193,52
Other and unknown,176,4
Other and Unknown,174,83
Thailand,165,97
Tunisia,138,160
Kyrgyzstan,46,154
Mauritius,152,81
Angola,147,30
British overseas citizens,146,7
South Africa,144,37
United States,142,42
Indonesia,140,123
Hong Kong,137,29
Guinea,132,27
Ivory Coast,129,22
Kazakhstan,86,129
Mexico,123,23
Belarus,115,29
Jordan,113,29
Azerbaijan,108,58
Congo,100,28
Tanzania,95,35
Malawi,87,14
Kosovo,80,33
Senegal,80,18
Mali,64,11
Mongolia,62,4
Dominica,61,21
Bolivia,27,59
Grenada,59,21
Poland,25,56
St. Vincent and the Grenadines,55,24
St. Lucia,54,44
Zambia,48,10
Turkmenistan,46,10
Venezuela,45,6
Rwanda,42,25
Ecuador,41,26
Guatemala,41,38
Korea (North),40,0
Canada,38,7
Benin,35,3
Bahrain,34,16
Liberia,34,4
Oman,34,11
Argentina,30,6
Israel,30,10
Burkina,29,7
Hungary,13,28
Togo,27,3
Macedonia,26,6
Armenia,24,2
Burundi,24,10
Niger,24,3
Cuba,23,18
St. Kitts and Nevis,21,7
Romania,20,13
Barbados,17,2
Peru,10,16
Czech Republic,4,15
United Arab Emirates,15,6
Korea (South),14,2
Qatar,14,3
Central African Republic,13,2
Antigua and Barbuda,11,2
Chile,10,7
Lithuania,5,10
Maldives,10,1
Mauritania,8,10
Moldova,10,9
Taiwan,10,5
Costa Rica,9,9
Cyprus (Northern part of),9,3
East Timor,7,9
Japan,9,0
Singapore,9,3
Equatorial Guinea,8,0
Greece,8,7
Guinea-Bissau,8,1
Vanuatu,8,0
Djibouti,7,1
Guyana,5,7
Dominican Republic,6,0
Haiti,6,1
Panama,6,1
Spain,3,6
Swaziland,4,6
Bosnia and Herzegovina,5,0
Germany,5,2
Italy,5,2
Macau,5,0
Portugal,5,4
Slovakia,2,5
Sweden,5,2
Western Sahara,5,0
Mozambique,4,1
Netherlands,1,4
Australia,3,3
Bhutan,3,0
Bulgaria,3,1
Cape Verde,0,3
France,3,1
Gabon,3,0
Latvia,3,2
"Bahamas, The",2,1
Belize,2,0
Burma,1,2
Comoros,2,0
Denmark,2,0
Fiji,2,0
Former Yugoslavia,2,0
Laos,2,0
Andorra,1,0
Belgium,1,0
Brunei,1,0
Cyprus,1,0
Finland,0,1
Ireland,1,1
Luxembourg,1,1
Marshall Islands,1,0
New Zealand,1,0
Norway,0,1
San Marino,1,0
Sao Tome and Principe,1,0
Seychelles,1,0
Solomon Islands,0,1
Surinam,0,1
Uruguay,1,1
