Year of application,Initial grant rate,Final grant rate
2004,0.14886246606123021,0.2726533675192296
2005,0.19720483938256153,0.32536587411414436
2006,0.23463271848719974,0.35570187727654806
2007,0.2896627182341468,0.40583991090019855
2008,0.3123671716029844,0.4487847222222222
2009,0.2687775095839841,0.44629515062104413
2010,0.2680509972229235,0.4207146490335707
2011,0.346121201833305,0.48344144759303515
2012,0.36614420062695924,0.5043062703497532
2013,0.37524586231710244,0.5194767721458113
2014,0.44056591299748776,0.6090494935645097
2015,0.4039079138636287,0.5922645209277165
2016,0.32439719005126255,0.5269913174782936
2017,0.3181839006734778,0.5254120879120879
2018,0.48178209873790306,0.6331355627472133
2019,0.608072200842954,0.7061604718659301
2020,0.5957723577235773,0.6296911325141149
2021,0.7531468531468531,0.7736654804270463
