Year,Afghanistan,Refugee,Nicaragua,Ukraine,Syria,Albania,Algeria,Angola,Armenia,Azerbaijan,Bangladesh,Belarus,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British overseas citizens,Burkina,Burma,Burundi,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Congo,Congo (Democratic Republic),Croatia,Cuba,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Ethiopia,Fiji,"Gambia, The",Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,India,Iran,Iraq,Israel,Ivory Coast,Jamaica,Jordan,Kazakhstan,Kenya,Korea (North),Korea (South),Kosovo,Kuwait,Kyrgyzstan,Lebanon,Lesotho,Liberia,Libya,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Namibia,Nepal,Niger,Nigeria,Occupied Palestinian Territories,Oman,Other and unknown,Pakistan,Philippines,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Slovakia,Somalia,South Africa,Sri Lanka,St. Lucia,St. Vincent and the Grenadines,Stateless,Sudan,Swaziland,Taiwan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,United States,Uzbekistan,Venezuela,Vietnam,Western Sahara,Yemen,Zambia,Zimbabwe,Antigua and Barbuda,Argentina,Bahrain,Belize,Canada,Gabon,Indonesia,Latvia,Macedonia,Madagascar,Nauru,Poland,St. Kitts and Nevis,Surinam,Tajikistan,United Arab Emirates,Barbados,Christmas Island,Former Yugoslavia,Japan,Lithuania,Norway,Singapore,Sudan (South),"Bahamas, The",Comoros,Czech Republic,El Salvador,Equatorial Guinea,Qatar,Australia,Costa Rica,Cyprus (Northern part of),Tonga,Uruguay,Cape Verde,Greece,Panama,Papua New Guinea,Romania,Cambodia,East Timor,Peru,Italy,Paraguay,Macau
2010,0.20768229166666666,0.9473684210526315,0,0.25,0.33070866141732286,0.3402061855670103,0.1262135922330097,0.32558139534883723,0.36363636363636365,0.3333333333333333,0.08118081180811808,0.13333333333333333,0.3333333333333333,0.45454545454545453,0.4,0,0.1,0,0,0.6666666666666666,0.5304878048780488,0.26666666666666666,0.30120481927710846,0.5,0.25,0,0.1495956873315364,0.3333333333333333,0.19047619047619047,0.2824858757062147,0.5,0.16666666666666666,1,1,0,1,0.26153846153846155,0.4065040650406504,0.33663366336633666,0,0.3231707317073171,0.16326530612244897,0.1375,0,0,0.22988505747126436,0,0,0,0,0,0.16049382716049382,0.3363309352517986,0.18485237483953787,0.25,0.41025641025641024,0.34177215189873417,0,0,0.2222222222222222,0.47540983606557374,0,0.1,0.22641509433962265,0.2222222222222222,0.20588235294117646,0,0.125,0.1746031746031746,0.11965811965811966,0.047619047619047616,0.6666666666666666,0,0,0.1,0,1,0.10526315789473684,0.3333333333333333,0,0,0.11764705882352941,0.5,0.15405405405405406,0.13609467455621302,1,0.25,0.13854853911404336,0,0.18604651162790697,0.28,0.4444444444444444,0.22727272727272727,1,1,0.2631578947368421,1,0.5813492063492064,0.15492957746478872,0.3742469879518072,0.25,0.2,0.07142857142857142,0.39473684210526316,0.3333333333333333,0,0.08333333333333333,0.5,0.06666666666666667,0.3076923076923077,0.2857142857142857,0.41379310344827586,0.3333333333333333,0.3157894736842105,0,0.35714285714285715,0,0.24719101123595505,0.14285714285714285,0.22727272727272727,0.4444444444444444,0.38679683867968384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.19317073170731708,0.9318181818181818,NA,0.2,0.42342342342342343,0.2967032967032967,0.1440677966101695,0.32142857142857145,0.5,0,0.1,0.5,0,0.25,0.3333333333333333,0,0.1111111111111111,0.25,0,0.5,0.6530612244897959,0.16666666666666666,0.36585365853658536,NA,0.5,0,0.18163672654690619,0.2857142857142857,0.1,0.3700787401574803,1,0,0,NA,NA,0,0.26153846153846155,0.507537688442211,0.3108108108108108,0.5,0.2661290322580645,0.2608695652173913,0.16981132075471697,0.25,1,0.14285714285714285,0,0,0,1,0,0.16037735849056603,0.3201716738197425,0.23693379790940766,0,0.25,0.3333333333333333,0.125,0,0.1896551724137931,0.5263157894736842,1,0.2727272727272727,0.23076923076923078,0.2857142857142857,0.23333333333333334,0,0,0.2713864306784661,0.2153846153846154,0.30434782608695654,NA,0,0,0.23076923076923078,0,1,0.2,0.2,0,0,0.05,0,0.19314641744548286,0.11818181818181818,0,0,0.1674917491749175,0.2,0.41935483870967744,0.5,0,0.07692307692307693,NA,NA,0.20930232558139536,NA,0.5846153846153846,0.2222222222222222,0.3802125919869174,1,0,0.296875,0.4424778761061947,0,0,0.09523809523809523,1,0.42857142857142855,0.2857142857142857,0.15789473684210525,0.31958762886597936,NA,0.29457364341085274,0,0.2,0,0.3389830508474576,0.4,0.5,0.5454545454545454,0.3611111111111111,1,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.3020833333333333,0.9583333333333334,NA,0.5,0.6234567901234568,0.23129251700680273,0.12987012987012986,0.2857142857142857,0.25,0,0.07987220447284345,0.375,0.25,0.6666666666666666,0.3333333333333333,0,0,0,NA,0.5,0.64,0,0.24,0,0.5,NA,0.14603174603174604,0.375,0.3333333333333333,0.39759036144578314,0,0.6666666666666666,NA,1,NA,0,0.23255813953488372,0.5051546391752577,0.23214285714285715,0,0.2785714285714286,0.14285714285714285,0.22807017543859648,NA,0,0.19444444444444445,0,NA,0,0,0,0.2361111111111111,0.3656387665198238,0.2289156626506024,0,0.22580645161290322,0.34375,0.14285714285714285,1,0.14285714285714285,0.7,0,0.6,0.17142857142857143,1,0.15789473684210525,NA,0.5,0.25925925925925924,0.2830188679245283,0.0625,NA,0,0,0.2727272727272727,0.6,NA,0.2222222222222222,0.16666666666666666,NA,0.5,0,1,0.19875776397515527,0.15151515151515152,0,1,0.1949728260869565,0.125,0.4444444444444444,0.07142857142857142,0,0.13636363636363635,0,NA,0.2916666666666667,NA,0.4519230769230769,0.21428571428571427,0.4282700421940928,0,NA,0.2857142857142857,0.5230769230769231,0.6666666666666666,0,0,0.5,0,0.4,0.08333333333333333,0.34615384615384615,0.25,0.3113207547169811,0,0,0.3333333333333333,0.2962962962962963,NA,0.5555555555555556,0.25,0.29906542056074764,0,NA,0.3333333333333333,NA,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,0.6666666666666666,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.33976833976833976,0.8666666666666667,NA,0.25,0.14864864864864866,0.2866666666666667,0.18666666666666668,0.25,0.3333333333333333,0.5,0.04132231404958678,0.6,0,1,1,NA,0,0,NA,0,0.35294117647058826,0.3333333333333333,0.36507936507936506,1,0.25,NA,0.1345565749235474,0.25,0.3076923076923077,0.4716981132075472,NA,0,NA,0,NA,1,0.15384615384615385,0.38571428571428573,0.5,NA,0.21428571428571427,0.2727272727272727,0.14285714285714285,1,NA,0.1875,NA,0.5,NA,1,NA,0.12173913043478261,0.34285714285714286,0.2846715328467153,0,0.3939393939393939,0.21212121212121213,0.125,0,0.4,0.16666666666666666,NA,0.42857142857142855,0.4,0.3333333333333333,0.30434782608695654,NA,1,0.28,0.13114754098360656,0,NA,0,0,0.16666666666666666,0,1,0.25,0.2,NA,0.5,0.125,1,0.17151162790697674,0.23529411764705882,NA,0,0.17382937780628607,0,0.6,0.625,0,0.15789473684210525,NA,NA,0.21428571428571427,NA,0.48695652173913045,0.3076923076923077,0.45714285714285713,NA,0,0.2857142857142857,0.5,0.6666666666666666,0,0.05,0.14285714285714285,0.3,0,0.4444444444444444,0.3956043956043956,0,0.34523809523809523,0.5,0.5,NA,0.2641509433962264,0.3333333333333333,0.5294117647058824,0.2727272727272727,0.2937853107344633,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.3747276688453159,0.8235294117647058,NA,0.3076923076923077,0.21875,0.33860759493670883,0.26229508196721313,0.25,0.5,0,0.11447811447811448,1,0,NA,0,NA,0,0,NA,NA,0.5625,0.25,0.3220338983050847,1,0,NA,0.10996563573883161,0,0.2857142857142857,0.4782608695652174,NA,NA,NA,0,NA,NA,0.2222222222222222,0.46296296296296297,0.45454545454545453,NA,0.30357142857142855,0.14285714285714285,0.24390243902439024,0.5,NA,0.43478260869565216,NA,0,NA,0.25,NA,0.15294117647058825,0.43157894736842106,0.2796610169491525,0,0.2777777777777778,0.36363636363636365,0.14285714285714285,NA,0.38461538461538464,0.4,NA,0.375,0.4,1,0.25,NA,0,0.2777777777777778,0.19230769230769232,0.09090909090909091,NA,0.42857142857142855,NA,0.5,0.5,0,0.1111111111111111,0.058823529411764705,NA,0,0,NA,0.23161764705882354,0.23076923076923078,NA,1,0.20894239036973344,0.15384615384615385,0.2222222222222222,0.6363636363636364,0.3333333333333333,0,0,0,0.3684210526315789,NA,0.4578313253012048,0.18181818181818182,0.4616588419405321,NA,0.5,0.36363636363636365,0.48148148148148145,0,NA,0.16666666666666666,0,0,0.625,0.043478260869565216,0.35051546391752575,1,0.4025974025974026,0,0.6,0.5,0.32432432432432434,0,0.36363636363636365,0.5,0.1827956989247312,0,NA,0.2,NA,NA,NA,0.6666666666666666,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.5,0.9264705882352942,NA,0.4117647058823529,0.4157303370786517,0.3302325581395349,0.16666666666666666,0.24,0.2857142857142857,0.2,0.12307692307692308,0.6666666666666666,0,0,NA,NA,0,0,0,0,0.4,0,0.36363636363636365,0,0.6666666666666666,NA,0.11036036036036036,0.16666666666666666,0.29411764705882354,0.43356643356643354,NA,NA,NA,NA,NA,NA,0.264,0.8255395683453237,0.40540540540540543,0,0.23529411764705882,0.13333333333333333,0.19607843137254902,0.5,NA,0.5263157894736842,0,NA,NA,0.75,NA,0.1864406779661017,0.4551451187335092,0.3816793893129771,0,0.25806451612903225,0.4,0.09090909090909091,0.8,0.16129032258064516,0.3333333333333333,0.5,0.2,0.1111111111111111,1,0.3333333333333333,NA,0,0.46408839779005523,0.1891891891891892,0.125,NA,0.5,0.5,0.14285714285714285,0,NA,0.6666666666666666,0.18518518518518517,0.5,0,0.05263157894736842,NA,0.18153846153846154,0.3617021276595745,1,0,0.2560344827586207,0.1111111111111111,0.5666666666666667,0.5,0.5,0.23076923076923078,0,NA,0.4722222222222222,NA,0.36470588235294116,0.3,0.4662349676225717,0.6666666666666666,0.3333333333333333,0.23333333333333334,0.5581395348837209,0.5,NA,0.1111111111111111,0,0.3333333333333333,0.45454545454545453,0.14285714285714285,0.31843575418994413,0.5,0.5,0,0.45454545454545453,0.2,0.3277310924369748,0,0.5384615384615384,0.46153846153846156,0.23387096774193547,NA,NA,0.5,0,NA,NA,0.125,NA,1,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,0,NA,0.5,0,NA,NA,NA,0.4,0.5,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.49875311720698257,0.9774436090225563,NA,0.2653061224489796,0.3767123287671233,0.34870317002881845,0.22916666666666666,0.1875,0.15384615384615385,0.6,0.16691505216095381,0,1,0,0,NA,0,0,0.5,1,0.24299065420560748,0.6,0.3013698630136986,0,0.14285714285714285,NA,0.08888888888888889,1,0.23529411764705882,0.3137254901960784,NA,0,0,0,0,0,0.2251655629139073,0.881578947368421,0.41509433962264153,1,0.3125,0.23529411764705882,0.25757575757575757,0,0.5,0.2857142857142857,NA,0.6666666666666666,NA,0,0,0.1743119266055046,0.4439901880621423,0.3592039800995025,0.3333333333333333,0.3076923076923077,0.2222222222222222,0,0.5,0.25,0,NA,0.8333333333333334,0.15384615384615385,0,0.24,0,0.6666666666666666,0.5315985130111525,0.2631578947368421,0.22727272727272727,NA,0.2,NA,0.16666666666666666,0,NA,0.5,0.2857142857142857,0,0.25,0.1,0,0.2551546391752577,0.2127659574468085,0.6666666666666666,0,0.281981981981982,0.19230769230769232,0.53125,0.5,0.5,0.16666666666666666,NA,NA,0.35714285714285715,0,0.3489583333333333,0.2857142857142857,0.47368421052631576,0.5,0,0.07317073170731707,0.6075471698113207,0.4,NA,0,0,0,0.45454545454545453,0,0.44029850746268656,1,0.46808510638297873,0,0.3,0,0.3310810810810811,NA,0.6923076923076923,0.3333333333333333,0.3015075376884422,NA,NA,0.6666666666666666,NA,NA,NA,0.8,0,0,1,NA,0,0.5,NA,1,0.8333333333333334,0.5,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.125,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0.5,NA,NA,NA,NA,NA,NA
2017,0.5358139534883721,0.9657142857142857,0,0.23636363636363636,0.40764331210191085,0.31385281385281383,0.2692307692307692,0,0.6666666666666666,0.21428571428571427,0.1750936329588015,0.25,0,0,0,NA,0.14285714285714285,0,0,0,0.21621621621621623,0.375,0.3392857142857143,NA,0.4,NA,0.09868421052631579,0,0.4375,0.4094488188976378,NA,0,0,0,NA,NA,0.26865671641791045,0.6119402985074627,0.4235294117647059,NA,0.27906976744186046,0.19047619047619047,0.10377358490566038,0.6666666666666666,0.3333333333333333,0.125,0,0,NA,1,0,0.2356020942408377,0.46944444444444444,0.3562130177514793,0,0.24,0.23728813559322035,0.21428571428571427,0,0.21428571428571427,0,NA,0.5,0.2857142857142857,1,0.4318181818181818,NA,0.5,0.6939890710382514,0.21212121212121213,0.21875,NA,0.2,NA,0.3333333333333333,0.14285714285714285,0,0.25,0.2682926829268293,0,0.3888888888888889,0.12962962962962962,NA,0.2542372881355932,0.2682926829268293,0,1,0.23992068737607403,0.125,0.47619047619047616,0.47368421052631576,0.17647058823529413,0.3181818181818182,1,0.5,0.22727272727272727,NA,0.5511363636363636,0.29411764705882354,0.4836879432624113,0.375,0.6666666666666666,0.1724137931034483,0.5497382198952879,0.4,NA,0.375,0.2,0.3333333333333333,0.1111111111111111,0.25,0.4528301886792453,0.5,0.3076923076923077,0,0.25,0.5,0.4219409282700422,NA,0.6857142857142857,0.125,0.2972972972972973,NA,NA,0,0,NA,0,0.25,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,NA,0,0,0.5238095238095238,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018,0.5684931506849316,0.9622641509433962,NA,0.4032258064516129,0.4305555555555556,0.4178743961352657,0.2537313432835821,0.3333333333333333,0.3,0.5555555555555556,0.19596541786743515,0.5,0,NA,0,NA,0.18181818181818182,0,1,0.25,0.4878048780487805,0.4666666666666667,0.4852941176470588,1,0.5,NA,0.1981981981981982,0.1111111111111111,0.375,0.4765625,NA,0,NA,0.5,NA,0,0.32051282051282054,0.5280898876404494,0.41566265060240964,0,0.28846153846153844,0.36363636363636365,0.2054794520547945,0.2857142857142857,0,0.2222222222222222,0,0.5,NA,0,0,0.24087591240875914,0.5175766641735228,0.4040550325850833,0,0.25,0.2777777777777778,0.42857142857142855,0.2222222222222222,0.35,1,0,0.2857142857142857,0.20833333333333334,0.25,0.3076923076923077,0,0,0.6,0.1590909090909091,0.36363636363636365,NA,1,1,0.2727272727272727,0,NA,0.6666666666666666,0.3333333333333333,0,0.17073170731707318,0.14583333333333334,NA,0.2545871559633027,0.24489795918367346,1,NA,0.2828282828282828,0.17857142857142858,0.7142857142857143,0.5,0.16666666666666666,0.6,NA,0,0.38461538461538464,NA,0.45918367346938777,0.23809523809523808,0.5409836065573771,0.25,0.3333333333333333,0.20454545454545456,0.7859007832898173,0.6666666666666666,NA,0.16666666666666666,0.6,0.25,0.38461538461538464,0.3684210526315789,0.4557522123893805,1,0.45098039215686275,0,0.4,0.5833333333333334,0.4280821917808219,NA,0.5757575757575758,0.2222222222222222,0.3546099290780142,0.5,NA,0.42857142857142855,NA,NA,1,0.25,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0.3333333333333333,NA,NA,NA,0.09523809523809523,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,0.5523465703971119,0.8735632183908046,0.5,0.47619047619047616,0.5208333333333334,0.52,0.3,0.20833333333333334,0.5,0.4444444444444444,0.26282051282051283,NA,0.6666666666666666,NA,0.25,NA,0.3,0.625,NA,0.25,0.4166666666666667,0.25,0.6046511627906976,NA,0.2857142857142857,NA,0.2524271844660194,0.16666666666666666,0,0.425,NA,NA,1,1,NA,NA,0.3541666666666667,0.6265060240963856,0.4703196347031963,NA,0.38461538461538464,0.46153846153846156,0.2153846153846154,0.25,1,0.2857142857142857,1,0,NA,0.3,NA,0.2037037037037037,0.5942857142857143,0.3915776241357637,0,0.65,0.4090909090909091,0.06666666666666667,0.6,0.28,0.5,NA,0,0.2857142857142857,0.3333333333333333,0.2631578947368421,0,0,0.5384615384615384,0.36,0.275,0,0.5,NA,0.3,0,NA,0.16666666666666666,0.2972972972972973,0.3333333333333333,0.35353535353535354,0.25806451612903225,NA,0.32,0.375,NA,0,0.3080357142857143,0.21739130434782608,0.6388888888888888,0.5833333333333334,0.3333333333333333,0.2222222222222222,1,1,0.391304347826087,NA,0.4794520547945205,0.25,0.5951742627345844,0,0.5,0.25,0.7388535031847133,0,NA,0.2727272727272727,0.5,0.3333333333333333,0.2,0.2777777777777778,0.5459459459459459,0,0.5,0,0.75,0.6,0.6068111455108359,0.5,0.6470588235294118,0.5,0.42028985507246375,1,NA,0.5,0,NA,NA,1,NA,0,NA,NA,NA,0,NA,1,NA,0,NA,0,0,NA,NA,1,0.6,0,0,NA,0.6410256410256411,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA
