Date,Pending further review,Pending initial decision (6 months or less),Pending initial decision (more than 6 months)
2010-06-30,9513,3371,6070
2010-09-30,7985,3172,4743
2010-12-31,7642,3158,4082
2011-03-31,9843,3544,3831
2011-06-30,9277,4073,3454
2011-09-30,8516,4686,3255
2011-12-31,8050,5625,3232
2012-03-31,6979,4790,3609
2012-06-30,6561,4756,4432
2012-09-30,6380,5958,4956
2012-12-31,6100,6946,5870
2013-03-31,6427,5988,6630
2013-06-30,6478,5588,7536
2013-09-30,5912,7327,7570
2013-12-31,4898,9691,8481
2014-03-31,4664,11116,10700
2014-06-30,4800,10290,13435
2014-09-30,6765,10372,13997
2014-12-31,8647,11269,11629
2015-03-31,13092,12586,4293
2015-06-30,13423,11243,4920
2015-09-30,12434,14544,4903
2015-12-31,11843,17287,4860
2016-03-31,10556,17173,6472
2016-06-30,8663,17482,8254
2016-09-30,6745,16880,10372
2016-12-31,4931,16437,11420
2017-03-31,4444,15458,11590
2017-06-30,3650,14254,13455
2017-09-30,3863,13960,14399
2017-12-31,3212,15216,14306
2018-03-31,3411,15807,13457
2018-06-30,3051,15456,14528
2018-09-30,2810,16525,15674
2018-12-31,2325,19300,16555
2019-03-31,3099,20234,18734
2019-06-30,2873,18773,22187
2019-09-30,3145,19130,26125
2019-12-31,5033,21995,29233
2020-03-31,1803,20390,31516
2020-06-30,2403,15317,38756
2020-09-30,2861,14440,46108
2020-12-31,5177,18099,46796
2021-03-31,3396,16101,50084
2021-06-30,1836,16865,54040
2021-09-30,4262,27213,56520
2021-12-31,4360,38700,61864
2022-03-31,4875,36528,73207
2022-06-30,4813,32982,89231
2022-09-30,5156,45660,97717
2022-12-31,5342,51278,109641
2023-03-31,NA,43946,128812
