Date,Adjusted,Asylum support payment (£)
2000-04-01,Inflation-adjusted,50.33057851239669
2000-04-01,Nominal,36.54
2000-05-01,Inflation-adjusted,50.19230769230769
2000-05-01,Nominal,36.54
2000-06-01,Inflation-adjusted,50.12345679012345
2000-06-01,Nominal,36.54
2000-07-01,Inflation-adjusted,50.4
2000-07-01,Nominal,36.54
2000-08-01,Inflation-adjusted,50.4
2000-08-01,Nominal,36.54
2000-09-01,Inflation-adjusted,49.98632010943913
2000-09-01,Nominal,36.54
2000-10-01,Inflation-adjusted,49.98632010943913
2000-10-01,Nominal,36.54
2000-11-01,Inflation-adjusted,49.91803278688525
2000-11-01,Nominal,36.54
2000-12-01,Inflation-adjusted,49.91803278688525
2000-12-01,Nominal,36.54
2001-01-01,Inflation-adjusted,50.33057851239669
2001-01-01,Nominal,36.54
2001-02-01,Inflation-adjusted,50.261348005502064
2001-02-01,Nominal,36.54
2001-03-01,Inflation-adjusted,50.054794520547944
2001-03-01,Nominal,36.54
2001-04-01,Inflation-adjusted,49.78201634877384
2001-04-01,Nominal,36.54
2001-05-01,Inflation-adjusted,49.37837837837838
2001-05-01,Nominal,36.54
2001-06-01,Inflation-adjusted,49.311740890688256
2001-06-01,Nominal,36.54
2001-07-01,Inflation-adjusted,49.64673913043478
2001-07-01,Nominal,36.54
2001-08-01,Inflation-adjusted,49.44519621109607
2001-08-01,Nominal,36.54
2001-09-01,Inflation-adjusted,49.311740890688256
2001-09-01,Nominal,36.54
2001-10-01,Inflation-adjusted,49.44519621109607
2001-10-01,Nominal,36.54
2001-11-01,Inflation-adjusted,49.512195121951216
2001-11-01,Nominal,36.54
2001-12-01,Inflation-adjusted,49.37837837837838
2001-12-01,Nominal,36.54
2002-01-01,Inflation-adjusted,49.57937584803256
2002-01-01,Nominal,36.54
2002-02-01,Inflation-adjusted,49.512195121951216
2002-02-01,Nominal,36.54
2002-03-01,Inflation-adjusted,49.311740890688256
2002-03-01,Nominal,36.54
2002-04-01,Inflation-adjusted,50.766129032258064
2002-04-01,Nominal,37.77
2002-05-01,Inflation-adjusted,50.630026809651476
2002-05-01,Nominal,37.77
2002-06-01,Inflation-adjusted,50.630026809651476
2002-06-01,Nominal,37.77
2002-07-01,Inflation-adjusted,50.766129032258064
2002-07-01,Nominal,37.77
2002-08-01,Inflation-adjusted,50.630026809651476
2002-08-01,Nominal,37.77
2002-09-01,Inflation-adjusted,50.49465240641712
2002-09-01,Nominal,37.77
2002-10-01,Inflation-adjusted,50.42723631508678
2002-10-01,Nominal,37.77
2002-11-01,Inflation-adjusted,50.42723631508678
2002-11-01,Nominal,37.77
2002-12-01,Inflation-adjusted,50.226063829787236
2002-12-01,Nominal,37.77
2003-01-01,Inflation-adjusted,50.56224899598394
2003-01-01,Nominal,37.77
2003-02-01,Inflation-adjusted,50.36000000000001
2003-02-01,Nominal,37.77
2003-03-01,Inflation-adjusted,50.159362549800804
2003-03-01,Nominal,37.77
2003-04-01,Inflation-adjusted,50.67549668874172
2003-04-01,Nominal,38.26
2003-05-01,Inflation-adjusted,50.67549668874172
2003-05-01,Nominal,38.26
2003-06-01,Inflation-adjusted,50.742705570291776
2003-06-01,Nominal,38.26
2003-07-01,Inflation-adjusted,50.81009296148738
2003-07-01,Nominal,38.26
2003-08-01,Inflation-adjusted,50.608465608465615
2003-08-01,Nominal,38.26
2003-09-01,Inflation-adjusted,50.40843214756258
2003-09-01,Nominal,38.26
2003-10-01,Inflation-adjusted,50.34210526315789
2003-10-01,Nominal,38.26
2003-11-01,Inflation-adjusted,50.40843214756258
2003-11-01,Nominal,38.26
2003-12-01,Inflation-adjusted,50.209973753280835
2003-12-01,Nominal,38.26
2004-01-01,Inflation-adjusted,50.47493403693931
2004-01-01,Nominal,38.26
2004-02-01,Inflation-adjusted,50.34210526315789
2004-02-01,Nominal,38.26
2004-03-01,Inflation-adjusted,50.27595269382392
2004-03-01,Nominal,38.26
2004-04-01,Inflation-adjusted,50.07853403141361
2004-04-01,Nominal,38.26
2004-05-01,Inflation-adjusted,49.94778067885118
2004-05-01,Nominal,38.26
2004-06-01,Inflation-adjusted,49.94778067885118
2004-06-01,Nominal,38.26
2004-07-01,Inflation-adjusted,50.07853403141361
2004-07-01,Nominal,38.26
2004-08-01,Inflation-adjusted,49.94778067885118
