Support Type,Accommodation Type,People,Definition
Section 4,Dispersed Accommodation,3660,Support provided to people whose asylum claim was unsuccessful and they have no more right to appeal.
Section 4,Contingency Accommodation - Hotel,81,Support provided to people whose asylum claim was unsuccessful and they have no more right to appeal.
Section 4,Initial Accommodation,72,Support provided to people whose asylum claim was unsuccessful and they have no more right to appeal.
Section 4,Contingency Accommodation - Other,23,Support provided to people whose asylum claim was unsuccessful and they have no more right to appeal.
Section 95,Contingency Accommodation - Hotel,55903,Support provided to people seeking asylum to prevent destitution while their asylum application is considered.
Section 95,Dispersed Accommodation,54355,Support provided to people seeking asylum to prevent destitution while their asylum application is considered.
Section 95,Subsistence Only,4748,Support provided to people seeking asylum to prevent destitution while their asylum application is considered.
Section 95,Initial Accommodation,1864,Support provided to people seeking asylum to prevent destitution while their asylum application is considered.
Section 95,Contingency Accommodation - Other,1801,Support provided to people seeking asylum to prevent destitution while their asylum application is considered.
Section 95,Other Accommodation,129,Support provided to people seeking asylum to prevent destitution while their asylum application is considered.
Section 98,Contingency Accommodation - Other,603,Emergency support for people seeking asylum while an application for section 95 support is being considered.
Section 98,Dispersed Accommodation,429,Emergency support for people seeking asylum while an application for section 95 support is being considered.
Section 98,Contingency Accommodation - Hotel,58,Emergency support for people seeking asylum while an application for section 95 support is being considered.
Section 98,Initial Accommodation,32,Emergency support for people seeking asylum while an application for section 95 support is being considered.
