Nationality,Government agency,Local Authority,NGO and third sector,Police
Albanian,20005,832,710,568
UK,35,9316,450,1916
Eritrean,4370,272,315,12
Sudanese,3975,504,200,12
Vietnamese,1605,180,295,359
Iranian,1205,252,330,30
Indian,1375,64,200,46
Afghan,795,464,45,16
Somali,865,84,135,20
Ethiopian,835,80,50,10
Syrian,755,52,80,3
Iraqi,645,72,140,24
Romanian,175,372,75,148
Nigerian,515,100,95,21
Chinese,600,16,50,42
Filipino,340,12,265,6
Egyptian,440,96,60,2
Pakistani,335,120,80,57
Bangladeshi,370,40,45,20
Brazilian,295,16,35,15
Namibian,305,8,30,1
South Sudanese,215,32,45,0
Polish,55,164,30,41
Thai,250,4,5,11
Chadian,210,48,10,0
Ghanaian,130,24,65,23
Sri Lankan,180,8,15,4
Algerian,130,48,15,4
Zimbabwean,115,28,25,21
Turkish,145,28,10,4
Pakistani UK,0,148,10,25
Sierra Leonean,105,16,55,6
Moroccan,120,40,10,9
Gambian,115,28,30,4
Botswanan,145,8,5,3
Yemeni,125,16,15,0
Jamaican,95,28,20,7
Lithuanian,30,64,25,27
Portuguese,55,48,5,24
Guinean,85,24,10,2
