Date,Age at exploitation,Overseas,UK,UK and Overseas,Not specified or unknown
2009 Q2,Adult (18 or over),1,4,0,122
2009 Q2,Child (17 or under),0,1,0,46
2009 Q3,Adult (18 or over),2,3,0,127
2009 Q3,Child (17 or under),0,1,0,61
2009 Q4,Adult (18 or over),0,4,0,138
2009 Q4,Child (17 or under),0,1,0,41
2010 Q1,Adult (18 or over),0,14,1,115
2010 Q1,Child (17 or under),0,1,0,41
2010 Q2,Adult (18 or over),0,0,0,101
2010 Q2,Child (17 or under),0,0,0,37
2010 Q3,Adult (18 or over),0,16,1,132
2010 Q3,Child (17 or under),0,2,0,61
2010 Q4,Adult (18 or over),0,25,1,129
2010 Q4,Child (17 or under),0,4,0,45
2011 Q1,Adult (18 or over),2,43,2,119
2011 Q1,Child (17 or under),0,4,3,53
2011 Q2,Adult (18 or over),5,82,4,44
2011 Q2,Child (17 or under),2,34,1,14
2011 Q3,Adult (18 or over),15,94,9,71
2011 Q3,Child (17 or under),2,53,6,28
2011 Q4,Adult (18 or over),7,54,11,80
2011 Q4,Child (17 or under),4,38,1,51
2012 Q1,Adult (18 or over),19,60,8,61
2012 Q1,Child (17 or under),9,31,8,40
2012 Q2,Adult (18 or over),24,88,7,86
2012 Q2,Child (17 or under),12,32,7,36
2012 Q3,Adult (18 or over),35,100,13,66
2012 Q3,Child (17 or under),4,35,4,61
2012 Q4,Adult (18 or over),29,114,35,66
2012 Q4,Child (17 or under),14,29,2,43
2013 Q1,Adult (18 or over),50,123,12,115
2013 Q1,Child (17 or under),9,38,2,57
2013 Q2,Adult (18 or over),37,122,7,107
2013 Q2,Child (17 or under),19,32,3,56
2013 Q3,Adult (18 or over),42,130,26,93
2013 Q3,Child (17 or under),10,54,5,36
2013 Q4,Adult (18 or over),59,236,11,126
2013 Q4,Child (17 or under),17,43,3,63
2014 Q1,Adult (18 or over),76,155,17,146
2014 Q1,Child (17 or under),24,80,5,64
2014 Q2,Adult (18 or over),45,164,22,124
2014 Q2,Child (17 or under),28,46,11,66
2014 Q3,Adult (18 or over),83,202,43,132
2014 Q3,Child (17 or under),35,61,8,64
2014 Q4,Adult (18 or over),135,232,42,47
2014 Q4,Child (17 or under),33,88,11,48
2015 Q1,Adult (18 or over),107,234,37,151
2015 Q1,Child (17 or under),36,72,11,79
2015 Q2,Adult (18 or over),142,231,36,133
2015 Q2,Child (17 or under),49,86,9,74
2015 Q3,Adult (18 or over),178,269,36,117
2015 Q3,Child (17 or under),65,77,7,88
2015 Q4,Adult (18 or over),179,239,51,144
2015 Q4,Child (17 or under),94,72,6,154
2016 Q1,Adult (18 or over),164,279,46,121
2016 Q1,Child (17 or under),83,92,21,88
2016 Q2,Adult (18 or over),202,316,49,102
2016 Q2,Child (17 or under),100,134,10,90
2016 Q3,Adult (18 or over),151,325,51,79
2016 Q3,Child (17 or under),77,112,14,97
2016 Q4,Adult (18 or over),196,299,65,79
2016 Q4,Child (17 or under),93,160,20,90
2017 Q1,Adult (18 or over),252,324,91,59
2017 Q1,Child (17 or under),135,202,22,71
2017 Q2,Adult (18 or over),254,323,81,54
2017 Q2,Child (17 or under),163,198,17,104
2017 Q3,Adult (18 or over),217,383,110,68
2017 Q3,Child (17 or under),176,234,38,97
2017 Q4,Adult (18 or over),236,371,134,65
2017 Q4,Child (17 or under),180,351,31,95
2018 Q1,Adult (18 or over),246,438,137,65
2018 Q1,Child (17 or under),202,415,35,80
2018 Q2,Adult (18 or over),274,454,135,64
2018 Q2,Child (17 or under),214,423,29,59
2018 Q3,Adult (18 or over),320,456,136,49
2018 Q3,Child (17 or under),201,452,37,95
2018 Q4,Adult (18 or over),301,558,166,45
2018 Q4,Child (17 or under),224,536,53,74
2019 Q1,Adult (18 or over),420,587,165,37
2019 Q1,Child (17 or under),220,611,36,77
2019 Q2,Adult (18 or over),407,692,183,44
2019 Q2,Child (17 or under),196,677,62,47
2019 Q3,Adult (18 or over),428,961,200,39
2019 Q3,Child (17 or under),207,821,69,77
2019 Q4,Adult (18 or over),473,952,256,7
2019 Q4,Child (17 or under),326,940,152,31
2020 Q1,Adult (18 or over),408,808,268,1
2020 Q1,Child (17 or under),275,821,135,6
2020 Q2,Adult (18 or over),176,510,154,0
2020 Q2,Child (17 or under),128,1063,81,5
2020 Q3,Adult (18 or over),386,628,203,0
2020 Q3,Child (17 or under),160,907,94,1
2020 Q4,Adult (18 or over),705,619,207,0
2020 Q4,Child (17 or under),220,1033,85,2
2021 Q1,Adult (18 or over),413,756,260,0
2021 Q1,Child (17 or under),214,1033,111,0
2021 Q2,Adult (18 or over),496,811,251,0
2021 Q2,Child (17 or under),281,989,101,0
2021 Q3,Adult (18 or over),694,715,266,0
2021 Q3,Child (17 or under),323,937,101,0
2021 Q4,Adult (18 or over),683,825,233,0
2021 Q4,Child (17 or under),333,945,85,0
2022 Q1,Adult (18 or over),803,931,318,0
2022 Q1,Child (17 or under),370,978,119,0
2022 Q2,Adult (18 or over),1200,805,257,0
2022 Q2,Child (17 or under),425,1087,115,0
2022 Q3,Adult (18 or over),1150,849,303,0
2022 Q3,Child (17 or under),690,1146,143,0
2022 Q4,Adult (18 or over),1007,907,321,0
2022 Q4,Child (17 or under),601,1192,149,0
2023 Q1,Adult (18 or over),1032,1071,482,0
2023 Q1,Child (17 or under),522,1209,165,0
2023 Q2,Adult (18 or over),877,857,307,0
2023 Q2,Child (17 or under),531,1066,153,0
