Date,Age,Positive reasonable grounds,Negative reasonable grounds
2014-03-31,Adult (18 or over),372,47
2014-03-31,Child (17 or under),179,18
2014-06-30,Adult (18 or over),327,54
2014-06-30,Child (17 or under),142,15
2014-09-30,Adult (18 or over),392,62
2014-09-30,Child (17 or under),153,27
2014-12-31,Adult (18 or over),404,47
2014-12-31,Child (17 or under),159,25
2015-03-31,Adult (18 or over),446,53
2015-03-31,Child (17 or under),152,37
2015-06-30,Adult (18 or over),458,56
2015-06-30,Child (17 or under),184,31
2015-09-30,Adult (18 or over),534,81
2015-09-30,Child (17 or under),175,33
2015-12-31,Adult (18 or over),506,81
2015-12-31,Child (17 or under),254,57
2016-03-31,Adult (18 or over),521,86
2016-03-31,Child (17 or under),218,57
2016-06-30,Adult (18 or over),526,90
2016-06-30,Child (17 or under),277,56
2016-09-30,Adult (18 or over),482,106
2016-09-30,Child (17 or under),208,73
2016-12-31,Adult (18 or over),514,102
2016-12-31,Child (17 or under),268,83
2017-03-31,Adult (18 or over),575,124
2017-03-31,Child (17 or under),307,59
2017-06-30,Adult (18 or over),568,130
2017-06-30,Child (17 or under),397,96
2017-09-30,Adult (18 or over),622,122
2017-09-30,Child (17 or under),441,89
2017-12-31,Adult (18 or over),613,119
2017-12-31,Child (17 or under),450,101
2018-03-31,Adult (18 or over),622,117
2018-03-31,Child (17 or under),521,138
2018-06-30,Adult (18 or over),826,166
2018-06-30,Child (17 or under),554,210
2018-09-30,Adult (18 or over),800,172
2018-09-30,Child (17 or under),563,216
2018-12-31,Adult (18 or over),918,122
2018-12-31,Child (17 or under),664,151
2019-03-31,Adult (18 or over),1041,115
2019-03-31,Child (17 or under),871,99
2019-06-30,Adult (18 or over),1144,121
2019-06-30,Child (17 or under),771,101
2019-09-30,Adult (18 or over),1451,117
2019-09-30,Child (17 or under),1045,94
2019-12-31,Adult (18 or over),1505,177
2019-12-31,Child (17 or under),1303,148
2020-03-31,Adult (18 or over),1342,160
2020-03-31,Child (17 or under),1091,120
2020-06-30,Adult (18 or over),819,72
2020-06-30,Child (17 or under),1219,46
2020-09-30,Adult (18 or over),1066,114
2020-09-30,Child (17 or under),1082,45
2020-12-31,Adult (18 or over),1381,139
2020-12-31,Child (17 or under),1238,55
2021-03-31,Adult (18 or over),1258,133
2021-03-31,Child (17 or under),1251,87
2021-06-30,Adult (18 or over),1318,190
2021-06-30,Child (17 or under),1243,84
2021-09-30,Adult (18 or over),1507,184
2021-09-30,Child (17 or under),1204,109
2021-12-31,Adult (18 or over),1576,192
2021-12-31,Child (17 or under),1225,129
2022-03-31,Adult (18 or over),1793,188
2022-03-31,Child (17 or under),1273,149
2022-06-30,Adult (18 or over),1903,244
2022-06-30,Child (17 or under),1471,109
2022-09-30,Adult (18 or over),2025,304
2022-09-30,Child (17 or under),1799,186
2022-12-31,Adult (18 or over),1955,367
2022-12-31,Child (17 or under),1718,247
2023-03-31,Adult (18 or over),1011,1030
2023-03-31,Child (17 or under),949,293
2023-06-30,Adult (18 or over),461,1348
2023-06-30,Child (17 or under),1241,428
