Nationality,Government agency,Local Authority,NGO and third sector,Police
UK,6,2323,77,1899
Albanian,3274,162,111,508
Vietnamese,474,63,69,391
Sudanese,781,99,43,18
Eritrean,758,73,60,8
Indian,239,17,40,46
Iranian,196,57,36,35
Afghan,156,131,13,12
Romanian,35,116,9,141
Chinese,239,5,14,36
Somali,192,18,32,13
Pakistani,69,24,16,86
Syrian,143,24,20,5
Iraqi,125,17,27,22
Ethiopian,138,16,11,12
Nigerian,97,30,15,16
Filipino,73,4,62,17
Egyptian,106,21,11,4
Bangladeshi,59,11,10,22
Polish,18,40,7,35
Brazilian,54,5,8,17
South Sudanese,55,9,10,0
Thai,67,1,2,4
Pakistani UK,0,41,2,24
Ghanaian,18,9,10,27
Sri Lankan,44,3,7,5
Moroccan,31,16,3,6
Sierra Leonean,24,19,8,4
Namibian,46,2,4,2
Portuguese,9,16,3,25
Algerian,30,12,3,6
Lithuanian,7,19,2,23
Bulgarian,9,10,1,29
Chadian,38,8,2,1
Zimbabwean,14,6,6,19
Turkish,24,11,3,4
Unknown,5,4,1,31
Jamaican UK,1,29,0,7
Botswanan,28,2,1,4
Jamaican,14,7,4,10
