Nationality,Government agency,Local Authority,NGO and third sector,Police
Albanian,21040,848,700,675
UK,40,11764,500,2389
Eritrean,4970,352,385,14
Sudanese,4805,528,260,21
Vietnamese,2670,296,400,466
Indian,1555,84,245,61
Iranian,1290,316,275,44
Afghan,1090,628,80,17
Chinese,1305,28,80,45
Somali,1115,80,195,19
Syrian,900,112,130,7
Iraqi,820,92,165,33
Ethiopian,880,92,75,14
Romanian,205,532,65,182
Filipino,505,16,400,17
Nigerian,600,132,105,23
Egyptian,605,120,70,5
Pakistani,425,108,90,104
Bangladeshi,415,52,55,26
Brazilian,350,24,50,22
Thai,395,4,10,10
South Sudanese,305,48,50,0
Polish,95,188,45,48
Namibian,310,8,30,2
Sri Lankan,270,12,35,6
Chadian,255,44,15,1
Sierra Leonean,145,80,60,6
Moroccan,190,72,15,9
Ghanaian,130,44,75,33
Algerian,175,64,25,7
Pakistani UK,0,212,15,27
Turkish,165,52,15,5
Yemeni,155,16,35,0
Botswanan,185,8,5,4
Gambian,140,32,20,2
Lithuanian,50,100,10,29
Portuguese,65,68,15,32
Zimbabwean,90,32,30,25
Guinean,140,28,5,1
Jamaican,105,28,25,11
