Nationality,Government agency,Local Authority,NGO and third sector,Police
Albanian,20605,772,880,566
UK,45,9372,550,1923
Eritrean,4780,276,330,12
Sudanese,3970,464,205,13
Vietnamese,1395,228,255,379
Iranian,1310,252,365,30
Indian,1235,44,200,49
Afghan,795,440,45,16
Somali,925,76,220,18
Iraqi,715,80,130,17
Ethiopian,790,68,65,6
Syrian,790,36,70,4
Nigerian,480,88,100,26
Romanian,155,292,85,155
Pakistani,380,120,115,51
Filipino,380,8,260,7
Chinese,530,20,40,46
Egyptian,405,80,65,6
Bangladeshi,360,24,50,23
Namibian,300,0,30,1
Brazilian,240,12,35,21
Polish,45,172,40,38
Chadian,230,40,20,0
Ghanaian,140,24,50,22
Jamaican,130,44,50,6
South Sudanese,170,28,30,0
Sri Lankan,185,12,10,3
Yemeni,185,12,5,1
Thai,170,4,5,14
Turkish,145,28,10,3
Gambian,135,24,15,5
Sierra Leonean,100,20,50,6
Pakistani UK,0,136,10,21
Algerian,90,52,20,4
Zimbabwean,120,24,10,12
Moroccan,105,36,10,11
Lithuanian,30,76,15,28
Slovak,25,100,10,14
Jamaican UK,5,128,5,5
Kuwaiti,95,12,30,2
