Nationality,Government agency,Local Authority,NGO and third sector,Police
Albanian,17825,780,590,555
UK,20,9208,425,1909
Eritrean,4155,276,270,11
Sudanese,3910,428,200,15
Vietnamese,2055,224,295,360
Indian,1380,72,210,49
Iranian,1065,236,270,37
Afghan,885,532,60,16
Somali,900,76,135,17
Chinese,860,24,50,33
Ethiopian,755,64,65,13
Syrian,690,92,95,4
Romanian,180,460,55,146
Iraqi,580,68,130,26
Nigerian,490,92,90,22
Filipino,335,16,285,9
Egyptian,460,112,65,2
Pakistani,340,96,60,83
Bangladeshi,325,40,50,20
Brazilian,285,24,35,20
Thai,280,4,10,10
Polish,70,156,30,43
South Sudanese,215,24,35,0
Namibian,235,8,20,2
Sri Lankan,230,4,25,5
Chadian,200,36,15,0
Moroccan,155,56,10,6
Ghanaian,100,40,60,25
Algerian,135,52,20,5
Sierra Leonean,100,48,55,4
Pakistani UK,0,160,15,25
Turkish,135,28,15,4
Yemeni,125,16,20,0
Botswanan,140,8,5,3
Gambian,110,24,20,2
Lithuanian,45,72,10,25
Zimbabwean,85,24,15,24
Portuguese,50,52,15,26
Guinean,105,24,5,1
Jamaican,85,20,20,8
