Date,Age at exploitation,Overseas,UK,UK and Overseas,Not specified or unknown
2009 Q2,Adult (18 or over),1,4,0,122
2009 Q2,Child (17 or under),0,1,0,46
2009 Q3,Adult (18 or over),2,3,0,127
2009 Q3,Child (17 or under),0,1,0,61
2009 Q4,Adult (18 or over),0,4,0,138
2009 Q4,Child (17 or under),0,1,0,41
2010 Q1,Adult (18 or over),0,14,1,115
2010 Q1,Child (17 or under),0,1,0,41
2010 Q2,Adult (18 or over),0,0,0,101
2010 Q2,Child (17 or under),0,0,0,37
2010 Q3,Adult (18 or over),0,16,1,132
2010 Q3,Child (17 or under),0,2,0,61
2010 Q4,Adult (18 or over),0,25,1,129
2010 Q4,Child (17 or under),0,4,0,45
2011 Q1,Adult (18 or over),2,43,2,119
2011 Q1,Child (17 or under),0,4,3,53
2011 Q2,Adult (18 or over),5,82,4,44
2011 Q2,Child (17 or under),2,34,1,14
2011 Q3,Adult (18 or over),15,94,9,71
2011 Q3,Child (17 or under),2,53,6,28
2011 Q4,Adult (18 or over),7,54,11,80
2011 Q4,Child (17 or under),4,38,1,51
2012 Q1,Adult (18 or over),19,60,8,61
2012 Q1,Child (17 or under),9,31,8,40
2012 Q2,Adult (18 or over),24,88,7,86
2012 Q2,Child (17 or under),12,32,7,36
2012 Q3,Adult (18 or over),35,100,13,66
2012 Q3,Child (17 or under),4,35,4,61
2012 Q4,Adult (18 or over),29,114,35,66
2012 Q4,Child (17 or under),14,29,2,43
2013 Q1,Adult (18 or over),50,123,12,115
2013 Q1,Child (17 or under),9,38,2,57
2013 Q2,Adult (18 or over),37,122,7,107
2013 Q2,Child (17 or under),19,32,3,56
2013 Q3,Adult (18 or over),42,130,26,93
2013 Q3,Child (17 or under),10,54,5,36
2013 Q4,Adult (18 or over),59,236,11,126
2013 Q4,Child (17 or under),17,43,3,63
2014 Q1,Adult (18 or over),76,155,17,146
2014 Q1,Child (17 or under),24,80,5,64
2014 Q2,Adult (18 or over),45,164,22,124
2014 Q2,Child (17 or under),28,46,11,66
2014 Q3,Adult (18 or over),83,202,43,132
2014 Q3,Child (17 or under),35,61,8,64
2014 Q4,Adult (18 or over),135,232,42,47
2014 Q4,Child (17 or under),33,88,11,48
2015 Q1,Adult (18 or over),107,234,37,151
2015 Q1,Child (17 or under),36,71,12,79
2015 Q2,Adult (18 or over),142,231,36,133
2015 Q2,Child (17 or under),49,86,10,73
2015 Q3,Adult (18 or over),178,269,36,117
2015 Q3,Child (17 or under),65,77,7,88
2015 Q4,Adult (18 or over),179,239,51,144
2015 Q4,Child (17 or under),95,73,6,152
2016 Q1,Adult (18 or over),164,279,46,121
2016 Q1,Child (17 or under),84,92,21,87
2016 Q2,Adult (18 or over),202,315,50,102
2016 Q2,Child (17 or under),100,134,10,90
2016 Q3,Adult (18 or over),151,325,51,79
2016 Q3,Child (17 or under),76,112,15,97
2016 Q4,Adult (18 or over),196,298,66,79
2016 Q4,Child (17 or under),93,160,20,90
2017 Q1,Adult (18 or over),252,324,91,59
2017 Q1,Child (17 or under),135,202,22,71
2017 Q2,Adult (18 or over),254,323,82,53
2017 Q2,Child (17 or under),164,198,17,103
2017 Q3,Adult (18 or over),217,381,112,68
2017 Q3,Child (17 or under),176,234,38,97
2017 Q4,Adult (18 or over),236,370,136,64
2017 Q4,Child (17 or under),180,351,31,95
2018 Q1,Adult (18 or over),245,436,143,62
2018 Q1,Child (17 or under),202,415,35,80
2018 Q2,Adult (18 or over),273,453,138,63
2018 Q2,Child (17 or under),213,423,30,59
2018 Q3,Adult (18 or over),320,452,141,48
2018 Q3,Child (17 or under),202,452,37,94
2018 Q4,Adult (18 or over),301,551,173,45
2018 Q4,Child (17 or under),224,536,53,74
2019 Q1,Adult (18 or over),419,581,178,31
2019 Q1,Child (17 or under),220,611,37,76
2019 Q2,Adult (18 or over),407,689,188,41
2019 Q2,Child (17 or under),195,677,63,47
2019 Q3,Adult (18 or over),427,959,206,36
2019 Q3,Child (17 or under),206,821,70,77
2019 Q4,Adult (18 or over),472,948,262,6
2019 Q4,Child (17 or under),326,939,153,31
2020 Q1,Adult (18 or over),407,801,275,1
2020 Q1,Child (17 or under),274,821,137,6
2020 Q2,Adult (18 or over),170,506,164,0
2020 Q2,Child (17 or under),128,1063,81,5
2020 Q3,Adult (18 or over),383,619,214,0
2020 Q3,Child (17 or under),159,908,94,1
2020 Q4,Adult (18 or over),700,618,213,0
2020 Q4,Child (17 or under),220,1031,86,2
2021 Q1,Adult (18 or over),408,755,266,0
2021 Q1,Child (17 or under),215,1032,110,0
2021 Q2,Adult (18 or over),485,808,264,0
2021 Q2,Child (17 or under),280,989,102,0
2021 Q3,Adult (18 or over),688,703,283,0
2021 Q3,Child (17 or under),322,937,100,0
2021 Q4,Adult (18 or over),679,812,250,0
2021 Q4,Child (17 or under),332,943,88,0
2022 Q1,Adult (18 or over),790,896,366,0
2022 Q1,Child (17 or under),369,979,119,0
2022 Q2,Adult (18 or over),1193,789,279,0
2022 Q2,Child (17 or under),424,1084,116,0
2022 Q3,Adult (18 or over),1143,839,320,0
2022 Q3,Child (17 or under),688,1142,146,0
2022 Q4,Adult (18 or over),1001,900,333,0
2022 Q4,Child (17 or under),600,1189,151,0
2023 Q1,Adult (18 or over),1030,1057,499,0
2023 Q1,Child (17 or under),516,1203,176,0
2023 Q2,Adult (18 or over),857,819,364,0
2023 Q2,Child (17 or under),505,1057,184,0
2023 Q3,Adult (18 or over),911,837,277,0
2023 Q3,Child (17 or under),578,1125,154,0
