Year,Age,Negative conclusive grounds,Positive conclusive grounds
2014,Adult (18 or over),439,707
2014,Child (17 or under),175,271
2014,Age not specified or unknown,0,0
2015,Adult (18 or over),510,737
2015,Child (17 or under),185,267
2015,Age not specified or unknown,0,0
2016,Adult (18 or over),541,711
2016,Child (17 or under),245,381
2016,Age not specified or unknown,0,0
2017,Adult (18 or over),484,718
2017,Child (17 or under),159,503
2017,Age not specified or unknown,0,0
2018,Adult (18 or over),578,1208
2018,Child (17 or under),392,1049
2018,Age not specified or unknown,0,0
2019,Adult (18 or over),447,1486
2019,Child (17 or under),205,1476
2019,Age not specified or unknown,0,1
2020,Adult (18 or over),254,1445
2020,Child (17 or under),74,1567
2020,Age not specified or unknown,6,62
2021,Adult (18 or over),187,1221
2021,Child (17 or under),49,1293
2021,Age not specified or unknown,10,83
2022,Adult (18 or over),415,2907
2022,Child (17 or under),200,2404
2022,Age not specified or unknown,43,199
2023,Adult (18 or over),396,810
2023,Child (17 or under),130,840
2023,Age not specified or unknown,35,64
