Date,Referrals through Duty to Notify process
2015-12-31,65
2016-03-31,108
2016-06-30,160
2016-09-30,192
2016-12-31,302
2017-03-31,355
2017-06-30,372
2017-09-30,452
2017-12-31,455
2018-03-31,478
2018-06-30,411
2018-09-30,372
2018-12-31,427
2019-03-31,403
2019-06-30,531
2019-09-30,630
2019-12-31,708
2020-03-31,580
2020-06-30,447
2020-09-30,485
2020-12-31,663
2021-03-31,718
2021-06-30,910
2021-09-30,716
2021-12-31,849
2022-03-31,987
2022-06-30,1126
2022-09-30,1160
2022-12-31,1307
2023-03-31,1420
2023-06-30,1148
