Nationality,Total
Albanian,967
Eritrean,866
Sudanese,467
UK,406
Romanian,350
Chinese,246
Vietnamese,154
Nepalese,127
Ethiopian,118
Iranian,106
Syrian,91
Indian,81
Iraqi,59
Unknown,57
Egyptian,41
Nigerian,39
Bulgarian,38
Brazilian,37
Thai,36
Afghan,35
Bangladeshi,34
Polish,34
Hungarian,29
Filipino,26
Pakistani,26
East Timorese,23
Somali,22
Ghanaian,20
Ukrainian,19
Namibian,17
Malaysian,14
Kenyan,13
South Sudanese,13
Yemeni,13
Kuwaiti,12
Eritrean Ethiopian,11
Ugandan,11
Algerian,10
Chadian,10
Czech,10
Latvian,10
Lithuanian,10
Mauritian,9
Sri Lankan,9
Sierra Leonean,8
Cameroonian,7
Greek,7
Honduran,7
Libyan,7
Slovak,7
Turkish,7
Botswanan,6
Gambian,6
Kosovan,6
Not Known,6
American,5
Central African,5
Georgian,5
Mexican,5
Salvadorean,5
Bolivian,4
Citizen of the Dominican Republic,4
Palestinian,4
Portuguese,4
Russian,4
South African,4
Sudanese South Sudanese,4
Trinidadian,4
Zimbabwean,4
Albanian Italian,3
Congolese (DRC),3
Dutch,3
Indian UK,3
Kazakh,3
Malian,3
Pakistani UK,3
South Korean,3
Spanish,3
Albanian Greek,2
Angolan,2
Bangladeshi UK,2
Cape Verdean Filipino,2
Chinese UK,2
Ethiopian Eritrean,2
French,2
Guinean,2
Hong Konger,2
Hungarian Romanian,2
Indonesian,2
Irish,2
Jamaican,2
Jamaican UK,2
Lebanese,2
Moroccan,2
Romanian UK,2
Romanian Unknown,2
Saudi Arabian,2
St Lucian,2
Taiwanese,2
Tanzanian,2
UK Zimbabwean,2
Uzbek,2
Afghan Indian,1
Albanian Syrian,1
Albanian UK,1
American UK,1
Angolan UK,1
Argentine,1
Argentine Citizen of the Dominican Republic,1
Australian UK,1
Azerbaijani,1
Bangladeshi Burmese,1
Brazilian Italian,1
Brazilian Portuguese,1
British Virgin Islander,1
British Virgin Islander Somali,1
Bulgarian Canadian,1
Burkinan,1
Central African Sudanese,1
Chinese Japanese,1
Citizen of Guinea-Bissau,1
Citizen of the Dominican Republic Spanish,1
Colombian,1
Congolese (Congo),1
Congolese (Drc),1
East Timorese Portuguese,1
Ecuadorean,1
Egyptian Syrian,1
Emirati,1
Eritrean Libyan,1
Eritrean Sudanese,1
Eritrean UK,1
Eritrean Unknown,1
Ethiopian Nigerian,1
Ethiopian Sudanese,1
Filipino Malaysian,1
Filipino Qatari,1
French UK,1
German Romanian,1
Ghanaian UK,1
Grenadian,1
Indian Portuguese,1
Indian Sri Lankan,1
Iranian Iraqi,1
Iraqi Iranian,1
Iraqi UK,1
Italian,1
Japanese,1
Kuwaiti Unknown,1
Libyan Sudanese,1
Lithuanian Polish,1
Lithuanian UK,1
Macedonian,1
Maldivian,1
Mauritanian,1
Moldovan Romanian,1
Mongolian,1
Nepalese Unknown,1
North Korean,1
Palestinian Unknown,1
Polish UK,1
Portuguese Pakistani,1
Portuguese Romanian,1
Portuguese UK,1
Portuguese UKrainian,1
Qatari,1
Romanian Spanish,1
Senegalese,1
Sierra Leonean UK,1
Slovak Slovenian,1
Somali UK,1
South African UK,1
South African Zimbabwean,1
St Lucian UK,1
Sudanese Unknown,1
Tunisian,1
Unknown UK,1
Venezuelan,1
