Date,Age,Positive reasonable grounds,Negative reasonable grounds
2014-03-31,Adult (18 or over),372,47
2014-03-31,Child (17 or under),179,18
2014-06-30,Adult (18 or over),327,54
2014-06-30,Child (17 or under),142,15
2014-09-30,Adult (18 or over),392,62
2014-09-30,Child (17 or under),153,27
2014-12-31,Adult (18 or over),404,47
2014-12-31,Child (17 or under),159,25
2015-03-31,Adult (18 or over),446,53
2015-03-31,Child (17 or under),152,37
2015-06-30,Adult (18 or over),458,56
2015-06-30,Child (17 or under),184,31
2015-09-30,Adult (18 or over),534,81
2015-09-30,Child (17 or under),175,33
2015-12-31,Adult (18 or over),506,81
2015-12-31,Child (17 or under),254,57
2016-03-31,Adult (18 or over),521,86
2016-03-31,Child (17 or under),218,57
2016-06-30,Adult (18 or over),526,90
2016-06-30,Child (17 or under),277,56
2016-09-30,Adult (18 or over),482,106
2016-09-30,Child (17 or under),208,73
2016-12-31,Adult (18 or over),514,102
2016-12-31,Child (17 or under),268,83
2017-03-31,Adult (18 or over),575,124
2017-03-31,Child (17 or under),307,59
2017-06-30,Adult (18 or over),568,130
2017-06-30,Child (17 or under),397,96
2017-09-30,Adult (18 or over),622,122
2017-09-30,Child (17 or under),441,89
2017-12-31,Adult (18 or over),613,119
2017-12-31,Child (17 or under),450,101
2018-03-31,Adult (18 or over),622,117
2018-03-31,Child (17 or under),521,138
2018-06-30,Adult (18 or over),825,166
2018-06-30,Child (17 or under),554,210
2018-09-30,Adult (18 or over),800,171
2018-09-30,Child (17 or under),563,216
2018-12-31,Adult (18 or over),916,122
2018-12-31,Child (17 or under),664,151
2019-03-31,Adult (18 or over),1040,115
2019-03-31,Child (17 or under),872,98
2019-06-30,Adult (18 or over),1141,122
2019-06-30,Child (17 or under),770,101
2019-09-30,Adult (18 or over),1450,116
2019-09-30,Child (17 or under),1044,94
2019-12-31,Adult (18 or over),1502,177
2019-12-31,Child (17 or under),1302,148
2020-03-31,Adult (18 or over),1339,160
2020-03-31,Child (17 or under),1090,120
2020-06-30,Adult (18 or over),820,72
2020-06-30,Child (17 or under),1220,46
2020-09-30,Adult (18 or over),1064,114
2020-09-30,Child (17 or under),1083,45
2020-12-31,Adult (18 or over),1378,139
2020-12-31,Child (17 or under),1235,55
2021-03-31,Adult (18 or over),1259,133
2021-03-31,Child (17 or under),1248,87
2021-06-30,Adult (18 or over),1318,189
2021-06-30,Child (17 or under),1238,84
2021-09-30,Adult (18 or over),1507,182
2021-09-30,Child (17 or under),1199,109
2021-12-31,Adult (18 or over),1573,188
2021-12-31,Child (17 or under),1224,129
2022-03-31,Adult (18 or over),1789,188
2022-03-31,Child (17 or under),1272,148
2022-06-30,Adult (18 or over),1902,243
2022-06-30,Child (17 or under),1467,109
2022-09-30,Adult (18 or over),2024,299
2022-09-30,Child (17 or under),1794,185
2022-12-31,Adult (18 or over),1951,363
2022-12-31,Child (17 or under),1713,245
2023-03-31,Adult (18 or over),1011,980
2023-03-31,Child (17 or under),947,279
2023-06-30,Adult (18 or over),461,1226
2023-06-30,Child (17 or under),1238,391
2023-09-30,Adult (18 or over),935,1151
2023-09-30,Child (17 or under),919,394
2023-12-31,Adult (18 or over),957,1405
2023-12-31,Child (17 or under),1506,567
