Country of origin,Number of people supported
Syria,75
Eritrea,72
Iran,66
Sudan,47
Afghanistan,34
Yemen,30
Kuwait,16
"Congo, Dem Rep of (DRC)",10
Somalia,10
Cameroon,9
Ethiopia,8
Pakistan,7
Gambia,6
Namibia,6
Nigeria,5
Uganda,5
Burundi,3
Egypt,3
El Salvador,3
Iraq,3
Palestine,3
Turkey,3
Ivory Coast (Cote d'Ivoire),2
Kenya,2
Libya,2
Sierra Leone,2
South Africa,2
South Sudan,2
Turkmenistan,2
Albania,1
Angola,1
Bangladesh,1
Botswana,1
Burkino Faso,1
Chad,1
"Congo, Rep of",1
Dominica,1
Ghana,1
Guinea (formerly French Guinea),1
Lebanon,1
Mauritania,1
Rwanda,1
Sri Lanka,1
Unknown,1
Vietnam,1
Zimbabwe,1
