Country of origin,Number of people supported
Syria,73
Eritrea,71
Iran,50
Sudan,47
Afghanistan,35
Yemen,28
Kuwait,19
Cameroon,10
Ethiopia,8
Somalia,8
"Congo, Dem Rep of (DRC)",7
Nigeria,7
Namibia,6
Uganda,6
Iraq,5
Pakistan,5
Egypt,4
Gambia,4
Turkey,4
United Kingdom,4
Sierra Leone,3
Ukraine,3
Burundi,2
"Congo, Rep of",2
El Salvador,2
Ivory Coast (Cote d'Ivoire),2
Libya,2
Palestine,2
Sri Lanka,2
Turkmenistan,2
Albania,1
Angola,1
Botswana,1
Chad,1
Cuba,1
Dominica,1
Ghana,1
Guinea (formerly French Guinea),1
Kenya,1
Lebanon,1
Mauritania,1
Mozambique,1
Philippines,1
Rwanda,1
South Africa,1
South Sudan,1
Unknown,1
Vietnam,1
Zimbabwe,1
