Immigration status,Number of people supported
People seeking asylum,11622
Refugee status,3089
Other,707
Fully refused - no further legal representations,640
Homes for Ukraine Scheme,633
Family reunion visa,588
Indefinite leave to remain,450
Fully refused - further legal representations submitted,408
Discretionary leave to remain,355
Overstayer,290
Humanitarian protection,182
Ukraine Family Visa Scheme,165
Syrian Resettlement Scheme,140
British national,111
Irregular migrant,107
Spousal visa,106
EEA national,81
Ukraine Extension Scheme,21
Unaccompanied Asylum-Seeking Children,10
Leave to remain,8
Vulnerable Children Resettlement Scheme,6
