City,Number of people supported
Leicester,1683
Bristol,1143
Derby,1136
Glasgow,1131
Cardiff,1052
Belfast,1046
London,718
Plymouth,648
Birmingham,632
Newcastle Upon Tyne,551
Liverpool,478
Peterborough,477
Sunderland,442
Nottingham,440
Manchester,420
Norwich,397
Leeds,374
Stockton-On-Tees,357
Sheffield,323
Oldham,315
Coventry,297
Preston,256
St. Helens,202
Rochdale,185
Runcorn,181
Bournemouth,162
Luton,160
Leyland,156
Middlesbrough,155
Warrington,154
Rotherham,148
Gateshead,143
Bradford,138
Bury,136
Northampton,135
South Shields,129
Ashington,124
Loughborough,119
Basildon,111
Portsmouth,111
Hull,106
