City,Number of people supported
Leicester,1562
Belfast,1222
Glasgow,1175
Bristol,1090
Derby,903
London,765
Cardiff,756
Nottingham,475
Plymouth,465
Sunderland,419
Newcastle Upon Tyne,402
Birmingham,395
Liverpool,318
Stockton-On-Tees,314
Manchester,310
Peterborough,304
Norwich,296
Leeds,295
Sheffield,294
Oldham,273
Preston,201
Luton,180
Bradford,174
Bournemouth,158
Bury,154
Rochdale,144
Middlesbrough,140
Northampton,140
Ashington,122
Coventry,121
Leyland,117
South Shields,117
Gateshead,113
Hull,107
Rotherham,104
