Date,Legacy backlog,Flow backlog,Nationality and Borders Act (NABA) (subset),Illegal Migration Bill (subset),Illegal Migration Act (subset),Total asylum backlog
2022-03-31,89344,N/A,-,-,-,89344
2022-04-30,94014,N/A,-,-,-,94014
2022-05-31,97630,N/A,-,-,-,97630
2022-06-30,100548,924,924,-,-,101472
2022-07-31,98579,6832,6832,-,-,105411
2022-08-31,96620,14414,14414,-,-,111034
2022-09-30,96200,21821,21821,-,-,118021
2022-10-31,94072,32135,32135,-,-,126207
2022-11-30,92601,38227,38227,-,-,130828
2022-12-31,90704,45255,45255,-,-,135959
2023-01-31,88041,50135,50135,-,-,138176
2023-02-28,85324,54228,54228,-,-,139552
2023-03-31,80969,57118,54459,2659,-,138087
2023-04-30,76850,60689,52222,8467,-,137539
2023-05-28,74410,63317,51013,12304,-,137727
2023-06-25,70493,68207,50369,17838,-,138700
2023-07-30,62157,74622,49859,22974,1789,136779
2023-08-27,55477,81467,49284,22919,9264,136944
2023-09-24,45873,86485,47496,22727,16262,132358
2023-10-29,33253,89332,44108,22619,22605,122585
2023-11-30,18366,91076,40328,22430,28318,109442
2023-12-28,4537,94062,38529,22448,33085,98599
