Year,Initial grant rate
2001,0.2616061315099753
2002,0.3400526693799378
2003,0.17052401410511078
2004,0.12077095239129962
2005,0.17300040156244295
2006,0.21392417152134466
2007,0.2636292656041887
2008,0.30397361232799053
2009,0.2776268115942029
2010,0.25651401500197396
2011,0.32510643194108846
2012,0.36121378323596043
2013,0.37724313614491933
2014,0.41202042157407875
2015,0.39904971526394856
2016,0.3400281180960032
2017,0.31872678546241007
2018,0.3287326882944413
2019,0.5198882789174613
2020,0.4570749440715884
2021,0.7203413157170383
2022,0.7634098080111236
2023,0.6806550665301945
